id,hospital_name,site_name,lat,lon,geo_qual,street,house_number,postcode,city,cc,country,cap_beds,cap_prac,cap_rooms,emergency,facility_type,public_private,list_specs,tel,email,url,ref_date,pub_date,comments
16,BG KARDJALI,,41.6515351,25.3773236,1,COUNTED,44,,KARDZHALI,BG,Bulgaria,320,,,,,,,,,,01/01/12,16/04/2020,
17,GDPB TREATMENT OF DRUG ADDICTION AND ALCOHOLISM,,42.7019369,23.3045822,1,VPR,117,,SOFIA,BG,Bulgaria,40,,,,,,,,,,01/01/12,16/04/2020,
18,BPB LOVECH,,43.131505,24.7100759,1,UL.JAZBATENBERD,43,,LOVECH,BG,Bulgaria,250,,,,,,,,,,01/01/12,16/04/2020,
19,MAD PAZARDZHIK,,42.183909,24.34024,1,BLUEFIN,28,,PAZARDZHIK,BG,Bulgaria,100,,,,,,,,,,01/01/12,16/04/2020,
20,MSW IVAN RILSKI,,42.8277016,23.3689499,1,КВВРОПОВ,,,NOVI ISKAR,BG,Bulgaria,185,,,,,,,,,,01/01/12,16/04/2020,
21,SBB SEVLIEVO,,43.0198272,25.1046878,1,UL.VISEMM,33,,SEVLIEVO,BG,Bulgaria,118,,,,,,,,,,01/01/12,16/04/2020,
22,ZEB TSAREIN BROD,,43.3275425,27.0167112,1,HCL,30,,TSAREIN BROD,BG,Bulgaria,180,,,,,,,,,,01/01/12,16/04/2020,
23,GWD CEREVA KORIA,,43.0344389,25.7453227,1,C.CEREVA KORIA,,,CEREVA KORIA,BG,Bulgaria,140,,,,,,,,,,01/01/12,16/04/2020,
24,DSBLBB-TSARCA YANNA EOOD,,42.8671104,25.4774451,1,ULL,49,,TRYAVNA,BG,Bulgaria,36,,,,,,,,,,01/01/12,16/04/2020,
25,KOZ BURGAS EOOD,,42.5000101,27.4782872,1,BUL.DEMACID,86,,BURGAS,BG,Bulgaria,121,,,,,,,,,,01/01/12,16/04/2020,
26,KOZ VELIKO TARNOVO EOOD,,43.0851529,25.6334531,1,BUL.BULZLA,1,,VELIKO TARNOVO,BG,Bulgaria,206,,,,,,,,,,01/01/12,16/04/2020,
27,VRATSA EOOD,,43.194551,23.5692787,1,UL.WARTORI JUNE 68,,,VRATSA,BG,Bulgaria,160,,,,,,,,,,01/01/12,16/04/2020,
28,PLOVDIV EOOD,,42.1386462,24.7346663,1,BUL.BAA ABY-CATCH,15A,,PLOVDIV,BG,Bulgaria,240,,,,,,,,,,01/01/12,16/04/2020,
29,KZ -RUSE EOOD,,43.8581923,25.9597009,1,COUNTED,2,,RUSE,BG,Bulgaria,137,,,,,,,,,,01/01/12,16/04/2020,
30,KOZ STARA ZAGORA EOOD,,42.4239594,25.611223,1,UL.ARMESKA,11,,STARA ZAGORA,BG,Bulgaria,169,,,,,,,,,,01/01/12,16/04/2020,
31,KZ SHUMEN EOOD,,43.2764476,26.9181991,1,UL.BAA ABY-CATCH,63,,SHUMEN,BG,Bulgaria,111,,,,,,,,,,01/01/12,16/04/2020,
32,VIS À VIS MEDIA LTD,,43.4114115,24.616743,1,ULVSKOG,7A,,PLEVEN,BG,Bulgaria,170,,,,,,,,,,01/01/12,16/04/2020,
33,MPHAT AYTOS EOOD,,42.6976476,27.2635603,1,UL.XEYCEQS,4,,AYTOS,BG,Bulgaria,65,,,,,,,,,,01/01/12,16/04/2020,
34,MEDIA EOOD,,43.0206371,25.0944203,1,UL.STEFAN PASHEV,78,,SEVLIEVO,BG,Bulgaria,50,,,,,,,,,,01/01/12,16/04/2020,
35,MPHAL ARDINO EOOD,,41.5799393,25.1346266,1,US SOFIA,15,,ARDINO,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
36,MPHAL ASENOVGRAD EOOD,,42.0159424,24.8803854,1,UL.AL.STAMIBOLISKI,28,,ASENOVGRAD,BG,Bulgaria,214,,,,,,,,,,01/01/12,16/04/2020,
37,MPHAT BALCHIK EOOD,,43.4105814,28.1593966,1,UL.D-P ZLATKO PETKOV,1,,BALCHIK,BG,Bulgaria,88,,,,,,,,,,01/01/12,16/04/2020,
38,BNAL BELENE EOOD,,43.6455592,25.113802,1,UL.EGEC MILEV,47,,BELENE,BG,Bulgaria,38,,,,,,,,,,01/01/12,16/04/2020,
39,BELOGRADCHIK EOOD,,43.625879,22.6920354,1,HCL,34,,BELOGRADCHIK,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
40,MBAL BERKOVITSA EOOD,,43.2357612,23.1353617,1,UL.ALEXANDROWSKA,65,,BERKOVICA,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
41,MPHAT BLAGOEVGRAD AD,,42.0239608,23.0922532,1,UL.SLAV,60,,BLAGOEVGRAD,BG,Bulgaria,256,,,,,,,,,,01/01/12,16/04/2020,
42,BOTEVGRAD,,42.9075157,23.8019657,1,UL.BOZZHEA BOZHILOV,1,,BOTEVGRAD,BG,Bulgaria,120,,,,,,,,,,01/01/12,16/04/2020,
43,БУРГАС — БУРГАС АД,,42.5132937,27.4664801,1,BUL.ST.ST.STAMOBOV,73,,BURGAS,BG,Bulgaria,509,,,,,,,,,,01/01/12,16/04/2020,
44,BURGAS OOD,,42.5137405,27.4654448,1,J.K.ZORAA,,,BURGAS,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
45,MPHV WHITE SLATINA EOOD,,43.4784597,23.9291131,1,ZUL.ZUL.ZUL.ZUL.ZUL.ZUL.ZUL.ZUL.ZEDIRON,1,,BYALA SLATINA,BG,Bulgaria,100,,,,,,,,,,01/01/12,16/04/2020,
46,OMBAL WHITE BLASTOVTSA EOOD,,43.7032347,28.0402261,1,UL.IVAN VASOV,15,,GENERAL TOSHEVO,BG,Bulgaria,65,,,,,,,,,,01/01/12,16/04/2020,
47,VARNA LTD.,,43.1977715,27.9135641,1,"VARNA,  PL.SLAVIEYKOV",1,,VARNA,BG,Bulgaria,65,,,,,,,,,,01/01/12,16/04/2020,
48,MPHAL VELIKI PRESLAV EOOD,,43.1652635,26.8130511,1,UL.LYULBEN KARAVELOV,51,,VELIKI PRESLAV,BG,Bulgaria,40,,,,,,,,,,01/01/12,16/04/2020,
49,MPHAL VELINGRAD EOOD,,42.0186605,23.9871454,1,BUL.SINGLE,49,,VELINGRAD,BG,Bulgaria,149,,,,,,,,,,01/01/12,16/04/2020,
50,(A) BILA MEDIA LTD.,,43.1956343,23.5584855,1,UL.WARTORI JUNE 68,,,VRATSA,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
51,(A) MBAL VITA EOOD,,42.69611,23.3543587,1,"['UL.DRAGUVICA', ' 9']",,,SOFIA,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
52,IBAL GULYANTSI EOOD,,43.6398488,24.6957368,1,UL.VASSILL LEVSKI,34,,GULYANTSI,BG,Bulgaria,66,,,,,,,,,,01/01/12,16/04/2020,
53,MR DOBROE EAD,,42.1408061,25.8583295,1,UL.ALEKO KONSTANTINOV,10,,GALABOVO,BG,Bulgaria,80,,,,,,,,,,01/01/12,16/04/2020,
54,MARIE INNOVA MARIA EOOD,,42.605987,27.3857993,1,['KC.VETREEN'],,,BURGAS,BG,Bulgaria,129,,,,,,,,,,01/01/12,16/04/2020,
55,MPHAL DEVNYA EOOD,,43.2231873,27.5865787,1,LU.FRRIKRA,10A,,DEVNYA,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
56,MPHAT DOBRICH AD,,43.5624581,27.8167874,1,MR OPOULOS OF HITOV,24,,DOBRICH,BG,Bulgaria,357,,,,,,,,,,01/01/12,16/04/2020,
57,BRAND CONFIDENCE AD,,42.6847305,23.2459706,1,"Ž.KOHCOPEL2,  UL.FRIDANGER",2,,SOFIA,BG,Bulgaria,104,,,,,,,,,,01/01/12,16/04/2020,
58,DR HRISTO TODOMBSKI EOOD,,42.6207284,25.4035342,1,UL.STROADGORSKA,16,,KAZANLAK,BG,Bulgaria,214,,,,,,,,,,01/01/12,16/04/2020,
59,MR ATANAS DAFOVSKY AD,,41.646252,25.3753924,1,BUL.BELOMARSKI,53,,KARDZHALI,BG,Bulgaria,345,,,,,,,,,,01/01/12,16/04/2020,
60,DR BRATAN ŠUKEROV AD SMOLYAN,,41.5734222,24.7187233,1,BUL.BULGARIA,2,,SMOLYAN,BG,Bulgaria,323,,,,,,,,,,01/01/12,16/04/2020,
61,DR DIMITAR PAVLOADIS EOOD,,43.6135218,25.3455877,1,UL.PETER ANGELOV,18,,SVISHTOV,BG,Bulgaria,106,,,,,,,,,,01/01/12,16/04/2020,
62,DR DIMITAR CHAXMASOV EOOD,,42.2917388,25.9449112,1,MR GEORGI DIMITROV,42,,RADNEVO,BG,Bulgaria,85,,,,,,,,,,01/01/12,16/04/2020,
63,MPHAL D-P GOOD BEROV EOOD,,43.3472616,27.202701,1,HCL,22,,NEW MARKET,BG,Bulgaria,66,,,,,,,,,,01/01/12,16/04/2020,
64,MR IVAN SELIMINSKI AD SLIVEN,,42.6755575,26.3254201,1,KUL.HRISTOTOTEV,1,,GR. SLIVEN,BG,Bulgaria,511,,,,,,,,,,01/01/12,16/04/2020,
65,DR KRO POPOV — KARLOVO EOOD,,42.6451621,24.7989857,1,UL.GEN-MAJOR GURKO MARHOOLEV,3,,KARLOVO,BG,Bulgaria,145,,,,,,,,,,01/01/12,16/04/2020,
66,MR NIKOLA VASILIEV AD,,42.2794918,22.7006829,1,PL.17-IR JANUARY,1,,KYUSTENDIL,BG,Bulgaria,300,,,,,,,,,,01/01/12,16/04/2020,
67,MR SERGEI ROSTOVZEV EOOD,,41.5307001,25.4124177,1,UL.STEFAN KARACA,1,,MOMCHILGRAD,BG,Bulgaria,70,,,,,,,,,,01/01/12,16/04/2020,
68,DR STMEN ILIEV AD,,43.4035197,23.2356977,1,UL.SIUM VOYVODA,2,,MONTANA,BG,Bulgaria,400,,,,,,,,,,01/01/12,16/04/2020,
69,MR STOYCHO HRISTOV EOOD,,43.0286668,25.0891793,1,UL.STEFAN PASHEV,147,,SEVLIEVO,BG,Bulgaria,100,,,,,,,,,,01/01/12,16/04/2020,
70,MPHAL D-P. TERRESTRIC EOOD,,42.8682034,25.4866183,1,VPR’S SHARE,1,,TRYAVNA,BG,Bulgaria,70,,,,,,,,,,01/01/12,16/04/2020,
71,MPHAL D-P TOTA VENKOVA AD,,42.8706725,25.307318,1,KUL.D-P ILYV CHILD,1,,GR. GABROVO,BG,Bulgaria,320,,,,,,,,,,01/01/12,16/04/2020,
72,MPHAT DULOVO EOOD,,43.8208888,27.1468735,1,VPR,37,,DULOVO,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
73,OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL OF THE EUROPEAN PARLIAMENT AND OF,,43.240658,27.981475,1,"KC.HIGH,  UL.NAYEN REAKOV",2A,,VARNA,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
74,PLOVDIV OOD,,42.1107594,24.7096896,1,CO.COMATUGATE ROAD,79,,PLOVDIV,BG,Bulgaria,137,,,,,,,,,,01/01/12,16/04/2020,
75,ELIN PELIN EOOD,,42.6640481,23.6006284,1,UL.HEALTH,15,,ELIN PELIN,BG,Bulgaria,70,,,,,,,,,,01/01/12,16/04/2020,
76,OMBAL ECULP OOD,,42.1984804,24.3308544,1,PL,19A,,PAZARDZHIK,BG,Bulgaria,73,,,,,,,,,,01/01/12,16/04/2020,
77,M LIFE PLUS EOOD,,41.4656154,25.6461239,1,HCL,2,,KRUMOVGRAD,BG,Bulgaria,61,,,,,,,,,,01/01/12,16/04/2020,
78,MBAL HEALTH — VELINGRAD EOOD,,42.0195532,23.9874351,1,BUL.SINGLE,49,,VELINGRAD,BG,Bulgaria,154,,,,,,,,,,01/01/12,16/04/2020,
79,MR MPHAL HEALTH LTD,,42.1907862,24.323296,1,MR KUL.KOSTANSTATTIS VELICHKOV,50,,PAZARDZHIK,BG,Bulgaria,167,,,,,,,,,,01/01/12,16/04/2020,
80,MR MPHAL HEALTH LTD,,42.1381012,24.7182727,1,UL.STAFF,1A,,PLOVDIV,BG,Bulgaria,131,,,,,,,,,,01/01/12,16/04/2020,
81,MR IVAN SKENDERV EOOD,,41.5764962,23.7320191,1,UL.STARPA MOUNTAIN,54,,GOTSE DELCHEV,BG,Bulgaria,153,,,,,,,,,,01/01/12,16/04/2020,
82,MAL ISPERIH EOOD,,43.7140613,26.8380976,1,UL.AGINTENEGRO,32,,ISPERIH,BG,Bulgaria,98,,,,,,,,,,01/01/12,16/04/2020,
83,MBAL IHTIMAN EOOD,,42.432817,23.8234234,1,UL.SHAM,30,,IHTIMAN,BG,Bulgaria,68,,,,,,,,,,01/01/12,16/04/2020,
84,MBAL KAVARNA EOOD,,43.4249985,28.3391905,1,UL.VASSILL LEVSKI,36,,KAVARNA,BG,Bulgaria,90,,,,,,,,,,01/01/12,16/04/2020,
85,MBAL KARNOBAT EOOD,,42.6499561,26.9961977,1,UL.STARPA MOUNTAIN,180,,KARNOBAT,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
86,MPHAL CASPELA EOOD,,42.1300972,24.7162932,1,US SOFIA,64,,PLOVDIV,BG,Bulgaria,288,,,,,,,,,,01/01/12,16/04/2020,
87,BIAL KNEJA EOOD,,43.4861822,24.0792096,1,KUL.MARIS BOEV,4,,KNEZHA,BG,Bulgaria,74,,,,,,,,,,01/01/12,16/04/2020,
88,MBAL KUBRAT EOOD,,43.792132,26.5006757,1,UL.CNS BORIS I,12,,KUBRAT,BG,Bulgaria,100,,,,,,,,,,01/01/12,16/04/2020,
89,MPHAT KARDJALI OOD,,41.6456386,25.3719378,1,BUL.TRAKIA,19,,KARDZHALI,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
90,MBAL LAIF HOSITAL EOOD,,42.5275016,27.4679902,1,J.M. DIMITROV DIMOV (PANORAMA ROAD),,,BURGAS,BG,Bulgaria,77,,,,,,,,,,01/01/12,16/04/2020,
91,MPHAT LEVSKI EOOD,,43.3657341,25.1345944,1,UL.NIKOLOA VAPTSAROV,5,,LEVSKY,BG,Bulgaria,75,,,,,,,,,,01/01/12,16/04/2020,
92,MBAL LUKOVIT EOOD,,43.2122137,24.1614676,1,UL.CNS BORIS I,52,,LUKOVIT,BG,Bulgaria,101,,,,,,,,,,01/01/12,16/04/2020,
93,LAB LYULIN EAD,,42.7083822,23.2492483,1,"G.V.LLIN-6,  BUL.D-P PETR DERELIEV",81,,SOFIA,BG,Bulgaria,68,,,,,,,,,,01/01/12,16/04/2020,
94,OMBAL JOBAL AD,,42.1382683,24.7397733,1,UL.PHILAI MACEDONIAN,37,,PLOVDIV,BG,Bulgaria,63,,,,,,,,,,01/01/12,16/04/2020,
95,ST IVAN RILSKI EOOD,,42.1679203,24.747836,1,BUL.VASSILL LEVSKI,144A-A,,PLOVDIV,BG,Bulgaria,142,,,,,,,,,,01/01/12,16/04/2020,
96,MEZDRA MEZDRA EOOD,,43.1482956,23.708818,1,UL.JNCA SAKASE,33,,MEZDRA,BG,Bulgaria,101,,,,,,,,,,01/01/12,16/04/2020,
97,MPHAN MAL HOUSTUTE OOD,,42.1107673,24.7096896,1,UL.COLOHEVER,,,PLOVDIV,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
98,НАЦИОНАЛНА НАЦИОНАЛНА НАЦИОНАЛНА ООД,,42.424892,25.6175771,1,UL.ST.STAMBOLOV,29,,STARA ZAGORA,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
99,MBAL NIKOPOL EOOD,,43.7063914,24.8966503,1,UL.ALEKSANDER STAMBOLIYSKI,27,,NIKOPOL,BG,Bulgaria,40,,,,,,,,,,01/01/12,16/04/2020,
100,MPHB EAD,,42.7061944,23.2877862,1,KUL.KOCOEGVICA,65,,SOFIA,BG,Bulgaria,311,,,,,,,,,,01/01/12,16/04/2020,
101,OMURTAG EAD,,43.1001525,26.4162397,1,ULEXTRADE,55,,OMURTAG,BG,Bulgaria,124,,,,,,,,,,01/01/12,16/04/2020,
102,MBAL PAVLIKENI EOOD,,43.2366054,25.3151017,1,MR VUL.C.PETROLESKOV,2,,PAVLIKENI,BG,Bulgaria,97,,,,,,,,,,01/01/12,16/04/2020,
103,MPHAT PAZARDZHIK AD,,42.1830711,24.3426293,1,BLUEFIN,15,,PAZARDZHIK,BG,Bulgaria,556,,,,,,,,,,01/01/12,16/04/2020,
104,MBAL PIRDOP EAD,,42.7020315,24.1696429,1,UL.GEORGI BENKOVSKI,24,,PIRDOP,BG,Bulgaria,,,,,,,,,,,01/01/12,16/04/2020,
105,PLOVDIV AD,,42.1586794,24.7171998,1,BUL.BULGARIA,234,,PLOVDIV,BG,Bulgaria,583,,,,,,,,,,01/01/12,16/04/2020,
106,MBAL POMORIE EOOD,,42.5625281,27.6380074,1,UL.PAREQKEV STOYANOV,1,,POMORIE,BG,Bulgaria,62,,,,,,,,,,01/01/12,16/04/2020,
107,MPHAT POPOVO EOOD,,43.3408011,26.2165546,1,KC.ZAPAD,,,POPOVO,BG,Bulgaria,49,,,,,,,,,,01/01/12,16/04/2020,
108,MBAL PROF.,,43.1323173,24.7064388,1,HR DEUCO COREV,27,,LOVECH,BG,Bulgaria,238,,,,,,,,,,01/01/12,16/04/2020,
109,DIMITAR RANEV OOD,,42.0380663,24.3097401,1,PL,42,,PESHTERA,BG,Bulgaria,144,,,,,,,,,,01/01/12,16/04/2020,
110,DR AL. GERCHEV ETROPOLE EOOD,,42.839401,24.000138,1,RON,1,,ETROPOLE,BG,Bulgaria,74,,,,,,,,,,01/01/12,16/04/2020,
111,DR. STOYAN KYRICCH AD,,42.4242327,25.6124783,1,UL.GEN.STOLOETV,2,,STARA ZAGORA,BG,Bulgaria,718,,,,,,,,,,01/01/12,16/04/2020,
112,DR ASEN SHOPOV EOOD,,41.3780967,25.0961208,1,UL.HAN ASPARUCH,21,,ZLATOGRAD,BG,Bulgaria,70,,,,,,,,,,01/01/12,16/04/2020,
113,DR VASSIL TSONCHEV EOOD,,42.8923236,26.435616,1,CLOSI-CLOSED,85,,BOILER,BG,Bulgaria,40,,,,,,,,,,01/01/12,16/04/2020,
114,DR K.CHILV EOOD,,41.4985577,24.9433154,1,UL.STAFF,9,,MADAN,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
115,БУРГАС АД,,42.0230124,23.0886751,1,UL.SLAV,62,,BLAGOEVGRAD,BG,Bulgaria,117,,,,,,,,,,01/01/12,16/04/2020,
116,MBAL PARVOMAY EOOD,,42.0916783,25.2146316,1,UL.CNS BORIS I,51,,PARVOMAY,BG,Bulgaria,101,,,,,,,,,,01/01/12,16/04/2020,
117,MBAL RAZLOG EOOD,,41.8909209,23.4689105,1,UL.CRIAL AND METHODIUS,1,,RAZLOG,BG,Bulgaria,124,,,,,,,,,,01/01/12,16/04/2020,
118,RAKOVSKI EOOD,,42.287834,24.9541783,1,MR UL.M.OROLOOLOROLOOROLOROLOROLOROLOROLOROLOROLOROLOROLOROLORO@@,,,RAKOVSKI,BG,Bulgaria,65,,,,,,,,,,01/01/12,16/04/2020,
119,MBAL RAHILLA ANGELOVA AD,,42.6111433,23.0363989,1,UL.BROWER,2,,PERNIK,BG,Bulgaria,294,,,,,,,,,,01/01/12,16/04/2020,
120,БОЛОГИМИР ЕООД,,41.3976243,23.2041013,1,VPR,52,,PETRICH,BG,Bulgaria,106,,,,,,,,,,01/01/12,16/04/2020,
121,MPHAN RUSE AD,,43.8579873,25.9611225,1,COUNTED,2,,RUSE,BG,Bulgaria,592,,,,,,,,,,01/01/12,16/04/2020,
122,MPHAT SAMOKOV EOOD,,42.3352868,23.5519302,1,UL.MACEDONIA,49,,SAMOKOV,BG,Bulgaria,228,,,,,,,,,,01/01/12,16/04/2020,
123,ST. ST. IVAN RILSKI EOOD,,43.772101,23.7264025,1,UL.CRIAL AND METHODIUS,1,,KOZLODUY,BG,Bulgaria,72,,,,,,,,,,01/01/12,16/04/2020,
124,ST. ST. IVAN RILSKI EOOD,,42.1768299,26.5812707,1,UL.CHATALJA,3,,ELHOVO,BG,Bulgaria,50,,,,,,,,,,01/01/12,16/04/2020,
125,2003 OOD,,42.2673931,23.1144941,1,UL.IVAN VASOV,26,,DUPNITSA,BG,Bulgaria,165,,,,,,,,,,01/01/12,16/04/2020,
126,MR IVAN RILSKI EOOD,,42.4234031,25.6355909,1,UL.PATRARX EVTIMIJ,84,,STARA ZAGORA,BG,Bulgaria,95,,,,,,,,,,01/01/12,16/04/2020,
127,MR IVAN RILSKI EOOD GORNA ORYAHOVITSA,,43.1161626,25.6984162,1,VPR,72,,GORNA ORYAHOVITSA,BG,Bulgaria,243,,,,,,,,,,01/01/12,16/04/2020,
128,MR JOHN RILSKI OOD,,42.4838555,26.496352,1,BULGARIAN,2,,YAMBOL,BG,Bulgaria,63,,,,,,,,,,01/01/12,16/04/2020,
129,MR ANNA VARNA AD,,43.2137306,27.9164261,1,BUL.CAR EXEMPTED COLLECTOR,100,,VARNA,BG,Bulgaria,418,,,,,,,,,,01/01/12,16/04/2020,
130,"MPHAT, ANNA SOFIA AD",,42.659906,23.3718896,1,"G.K.YOUTH 1,  ULVSKOG",1,,SOFIA,BG,Bulgaria,411,,,,,,,,,,01/01/12,16/04/2020,
131,WORLD BOGORDITSA OOD,,42.6987199,23.3437666,1,PL,46,,SOFIA,BG,Bulgaria,15,,,,,,,,,,01/01/12,16/04/2020,
132,MPHAL WORLD EKATERINA DIMITROVGRAD EOOD,,42.0509657,25.5888319,1,UL.HOH.BOTTEV,29,,DIMITROVGRAD,BG,Bulgaria,125,,,,,,,,,,01/01/12,16/04/2020,
133,WORLD EKATERINA OOD,,42.2015007,24.3381017,1,UL.FREEDOM,17,,PAZARDZHIK,BG,Bulgaria,60,,,,,,,,,,01/01/12,16/04/2020,
134,MR KORIADT EAD,,42.1222434,24.7467363,1,BUL.NIKOLOA VAPTSAROV,23A,,PLOVDIV,BG,Bulgaria,74,,,,,,,,,,01/01/12,16/04/2020,
135,MPHAT THE WORLD MARINA EAD,,43.2270766,27.9353142,1,UL.HRWTO SMIRNENSKI,1,,VARNA,BG,Bulgaria,1017,,,,,,,,,,01/01/12,16/04/2020,
136,MR PETKA AD,,43.9985569,22.8776067,1,UL.CAR SIMEON VELIKI,119,,VIDIN,BG,Bulgaria,300,,,,,,,,,,01/01/12,16/04/2020,
137,HYPERLINK” HTTP://EUROPA.EU.INT/COMM/COMMISSION_BARROSO/KALLAS/CABINET/POTS/DOC/EF@@,,42.4945202,26.0212362,1,U.FRESH ENEV,1,,NOVA ZAGORA,BG,Bulgaria,78,,,,,,,,,,01/01/12,16/04/2020,
138,SOFIA EOOD,,42.6598745,23.2847151,1,BUL.BULGARIA,104,,SOFIA,BG,Bulgaria,107,,,,,,,,,,01/01/12,16/04/2020,
139,MR BELGIQUE EOOD,,41.5705568,23.2853401,1,PARK AREA,,,SANDANSKI,BG,Bulgaria,134,,,,,,,,,,01/01/12,16/04/2020,
140,MILAN IVAN RILSKI EOOD,,42.261867,23.1139255,1,UL.TSVETAND GEORGI,2,,DUPNITSA,BG,Bulgaria,180,,,,,,,,,,01/01/12,16/04/2020,
141,SAINT IVAN RILSKI RAZGRAD,,43.5312203,26.5333128,1,KUL.COSTA PETROV,2,,RAZGRAD,BG,Bulgaria,342,,,,,,,,,,01/01/12,16/04/2020,
142,MBAL SVETI MINE,,42.136152,24.7429168,1,UL.IVAN VASOV,59,,PLOVDIV,BG,Bulgaria,176,,,,,,,,,,01/01/12,16/04/2020,
143,MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT,,43.8274373,23.2327795,1,2,,,LOM,BG,Bulgaria,257,,,,,,,,,,01/01/12,16/04/2020,
144,MR SVETI PANTALIMEN-PLEVEN OOD,,43.4020172,24.6424815,1,"J.COMPANY,  CL",24,,PLEVEN,BG,Bulgaria,96,,,,,,,,,,01/01/12,16/04/2020,
145,VIANALYISMOH-SOFIA АД,,42.6444873,23.375245,1,['G.K.YOUTH 1'],,,SOFIA,BG,Bulgaria,30,,,,,,,,,,01/01/12,16/04/2020,
146,MAL-ST PANELAITON — PLOVDIV EOOD,,42.1215392,24.750185600000002,1,BUL.NIKOLOA VAPTSAROV,9,,PLOVDIV,BG,Bulgaria,246,,,,,,,,,,01/01/12,16/04/2020,
147,МИТНИЦИ ПАЗАР АД,,42.4883099,26.5154439,1,MR OPOULOS OF HITOV,30,,YAMBOL,BG,Bulgaria,285,,,,,,,,,,01/01/12,16/04/2020,
148,SVILENGRAD EOOD,,41.7785848,26.2042058,1,UL.SAN STEFANO,1,,SVILENGRAD,BG,Bulgaria,120,,,,,,,,,,01/01/12,16/04/2020,
149,MBAL SVOGE EOOD,,42.9640975,23.3401752,1,UL.STAROLISKA,4,,SVOGE,BG,Bulgaria,90,,,,,,,,,,01/01/12,16/04/2020,
