hospital_name,site_name,street,house_number,postcode,city,country,cap_beds,cap_prac,cap_rooms,emergency,facility_type,public_private,list_specs,tel,email,url,ref_date,pub_date,comments,x,y
Klinikum - Klagenfurt am Wörthersee (LKH Klagenfurt),,Feschnigstraße,11,9020,Klagenfurt am Wörthersee,Austria,1165,,,,,,"AN, IM, KIJU, NCH, NEU",0463 538 0,,http://www.lkh-klu.at,01/01/20,16/04/2020,,4651007,2623287
Krankenhaus der Elisabethinen Klagenfurt GmbH,,Völkermarkter Straße,15-19,9020,Klagenfurt am Wörthersee,Austria,155,,,,,,GEM,0463 5830,,http://www.ekh.at,01/01/20,16/04/2020,,4651670,2622115
Unfallkrankenhaus Klagenfurt,,Waidmannsdorfer Straße,35,9020,Klagenfurt am Wörthersee,Austria,100,,,,,,,05 9393 4600,,http://www.auva.at/ukhklagenfurt,01/01/20,16/04/2020,,4650132,2621165
Abteilung für chronische Kranke im Klinikum Klagenfurt am Wörthersee,,Feschnigstraße,11,9020,Klagenfurt am Wörthersee,Austria,83,,,,,,,0463 538,,http://www.lkh-klu.at,01/01/20,16/04/2020,,4651007,2623287
Privatklinik Maria Hilf Klagenfurt,,Radetzkystraße,35,9020,Klagenfurt am Wörthersee,Austria,160,,,,,,,0463 5885 0,,http://www.humanomed.at,01/01/20,16/04/2020,,4650151,2622232
Landeskrankenhaus Laas,,Laas,39,9640,Kötschach-Mauthen,Austria,66,,,,,,IM,04715 7701 0,,http://www.lkh-laas.at,01/01/20,16/04/2020,,4549759,2625288
Krankenhaus der Barmherzigen Brüder St. Veit/Glan,,Spitalgasse,26,9300,St. Veit an der Glan,Austria,166,,,,,,AN,04212 499 0,,http://www.bbstveit.at,01/01/20,16/04/2020,,4653622,2638165
Krankenhaus Spittal/Drau,,Billrothstraße,1,9800,Spittal an der Drau,Austria,231,,,,,,AN,04762 622 0,,http://www.khspittal.com,01/01/20,16/04/2020,,4587605,2638314
Landeskrankenhaus Villach,,Nikolaigasse,43,9500,Villach,Austria,625,,,,,,"AN, IM, KIJU",04242 208 0,,http://www.lkh-vil.or.at,01/01/20,16/04/2020,,4616704,2619023
Abteilung für chronisch Kranke im Landeskrankenhaus Villach,,Nikolaigasse,43,9500,Villach,Austria,26,,,,,,,04242 208 62290,,http://www.lkh-vil.or.at,01/01/20,16/04/2020,,4616704,2619023
Krankenhaus Waiern,,Martin-Luther-Straße,14,9560,Feldkirchen in Kärnten,Austria,56,,,,,,,04276 2201,,http://www.diakonie-kaernten.at/de-84.cms,01/01/20,16/04/2020,,4633488,2633050
Landeskrankenhaus Wolfsberg,,Paul Hackhoferstraße,9,9400,Wolfsberg,Austria,229,,,,,,AN,04352 533 0,,http://www.lkh-wo.at,01/01/20,16/04/2020,,4690953,2647529
Abteilung für chronische Kranke und Zentrum für Lymphologie im Landeskrankenhaus Wolfsberg,,Paul Hackhoferstraße,9,9400,Wolfsberg,Austria,90,,,,,,,04352 533 0,,http://www.lkh-wo.at,01/01/20,16/04/2020,,4690953,2647529
Sonderkrankenanstalt de La Tour,,De la Tour Straße,28,9521,Treffen,Austria,56,,,,,,,04248 2557 0,,http://www.diakonie-kaernten.at/de-86.cms,01/01/20,16/04/2020,,4615288,2626082
Privatklinik Villach,,Dr. Walter Hochsteiner-Straße,4,9504,Villach-Warmbad Villach,Austria,152,,,,,,,04242 3044 0,,http://www.privatklinik-villach.at,01/01/20,16/04/2020,,4614368,2616551
Interdisziplinäre Sonderkrankenanstalt für Rehabilitation,,Moorweg,30,9330,Treibach-Althofen,Austria,435,,,,,,,04262 2071 0,,http://www.humanomed.at/privatklinik-althofen/,01/01/20,16/04/2020,,4663534,2650509
Sonderkrankenanstalt  Die Schrothkur Obervellach,,Johann-Schroth-Weg,137,9821,Obervellach,Austria,30,,,,,,,04782 2043,,http://www.schrothkur.at,01/01/20,16/04/2020,,4567533,2651412
Abteilung für chronisch Kranke im Landeskrankenhaus Laas,,Laas,39,9640,Kötschach-Mauthen,Austria,50,,,,,,,04715 7701 704,,http://www.lkh-laas.at,01/01/20,16/04/2020,,4549759,2625288
Sonderkrankenanstalt für Orthopädie und orthopädische Chirurgie Warmbad-Villach,,Kumpfallee,91,9504,Villach-Warmbad Villach,Austria,0,,,,,,,04242 300 6 00,,http://www.med-warmbad.at/orthopaedie,01/01/20,16/04/2020,,4614730,2615928
Rehabilitationsklinik für seelische Gesundheit und Prävention,,Grete-Bittner-Straße,40,9020,Klagenfurt am Wörthersee,Austria,95,,,,,,,0463 43 00 07,,http://www.seelischereha.com,01/01/20,16/04/2020,,4650106,2623144
Sonderkrankenanstalt für medizinische Rehabilitation Thermenhof,,Kumpfallee,93,9504,Villach-Warmbad Villach,Austria,238,,,,,,,04242 3001 4099,,http://www.med-warmbad.at,01/01/20,16/04/2020,,4614708,2615861
KABEG Gailtalklinik,,Radingerstraße,12,9620,Hermagor,Austria,110,,,,,,,04282 2220 0,,http://www.gailtal-klinik.at,01/01/20,16/04/2020,,4579293,2618737
Sonderkrankenanstalt und Gesundheitsresort Agathenhof,,Agathenhofstraße,24,9322,Micheldorf,Austria,54,,,,,,,05 02 88 29,,http//:www.agathenhof.at,01/01/20,16/04/2020,,4657730,2654878
Sonderkrankenhaus Sarepta-Spezialkliinik für Essstörungen,,Martin-Luther Straße,14,9560,Feldkirchen in Kärnten,Austria,12,,,,,,,04276 2201 300,,http://www.diakonie-delatour.at/sarepta-spezialklinik-fuer-essstoerungen,01/01/20,16/04/2020,,4633488,2633050
Landesklinikum Amstetten,,Krankenhausstraße,21,3300,Amstetten,Austria,355,,,,,,"AN, GEM, IM, KIJU",07472 604 00,,http://www.amstetten.lknoe.at,01/01/20,16/04/2020,,4684232,2791416
Klinikum am Kurpark Baden für Orthopädie und Rheumatologie,,Renngasse,2,2500,Baden,Austria,124,,,,,,,02252 432 85 0,,,01/01/20,16/04/2020,,4785717,2785792
Sonderkrankenanstalt Bad Schönau,,Am Kurpark,1,2853,Bad Schönau,Austria,94,,,,,,,02646 8251 0,,http://www.koenigsberg-bad-schoenau.at,01/01/20,16/04/2020,,4790292,2728560
SKA-RZ-Pensionsversicherungsanstalt Felbring im Schneebergland,,Felbring,71,2723,Muthmannsdorf,Austria,119,,,,,,,02638 882 81 0,,http://www.ska-felbring.at,01/01/20,16/04/2020,,4776359,2766284
Landesklinikum Hochegg,,Hocheggerstraße,88,2840,Grimmenstein,Austria,181,,,,,,PUL,02644 6300 0,,http://www.hochegg.lknoe.at,01/01/20,16/04/2020,,4778331,2741336
Landesklinikum Hainburg,,Hofmeisterstraße,70,2410,Hainburg an der Donau,Austria,142,,,,,,GEM,02165 90501 203,,http://www.hainburg.lknoe.at,01/01/20,16/04/2020,,4838006,2805579
Rehabilitationszentrum Hochegg,,Friedrich-Hillegeist-Straße,2,2840,Grimmenstein,Austria,240,,,,,,,02644 6010,,http://www.ska-hochegg.at,01/01/20,16/04/2020,,4779182,2741312
Landesklinikum Hollabrunn,,Robert Löffler-Straße,20,2020,Hollabrunn,Austria,222,,,,,,"AN, GEM, IM",02952 2275 0,,http://www.hollabrunn.lknoe.at,01/01/20,16/04/2020,,4770144,2846274
Landesklinikum Klosterneuburg,,Kreutzergasse,12-14,3400,Klosterneuburg,Austria,127,,,,,,GEM,02243 9004 0,,http://www.kh-klosterneuburg.at,01/01/20,16/04/2020,,4789681,2819517
Universitätsklinikum Krems,,Mitterweg,10,3500,Krems an der Donau,Austria,461,,,,,,"AN, GEM, IM",02732 804 0,,http://www.krems.lknoe.at,01/01/20,16/04/2020,,4736390,2826764
Rehabilitationszentrum für Bewegungsstörungen und rheumatische Erkrankungen,,Tiergartenstraße,3c,2381,Laab im Walde,Austria,141,,,,,,,02239 3536,,http://www.ska-laabimwalde.at,01/01/20,16/04/2020,,4780421,2801756
Landesklinikum Mauer,,Hausmeninger Straße,221,3362,Mauer-Öhling,Austria,440,,,,,,,07475 9004,,http://www.mauer.lknoe.at,01/01/20,16/04/2020,,4678527,2787004
Landesklinikum Melk,,Krankenhausstraße,11,3390,Melk,Austria,143,,,,,,"AN, GEM",02752 9004,,http://www.melk.lknoe.at,01/01/20,16/04/2020,,4717419,2804690
Landesklinikum Mistelbach-Gänserndorf,,Liechtensteinstraße,67,2130,Mistelbach,Austria,524,,,,,,"AN, GEM, IM, KIJU",02572 3341,,http://www.mistelbach.lknoe.at,01/01/20,16/04/2020,,4806104,2849970
Landesklinikum Neunkirchen,,Peischinger Straße,19,2620,Neunkirchen,Austria,384,,,,,,"AN, GEM",02635 602,,,01/01/20,16/04/2020,,4777207,2753530
Sonderkrankenanstalt Gesundheitsresort Raxblick,,Prein/Rax Oberland,2-4,2654,Prein an der Rax,Austria,152,,,,,,,02665 241 0,,http://www.raxblick.at,01/01/20,16/04/2020,,4752931,2745961
Landesklinikum Scheibbs,,Eisenwurzenstraße,26,3270,Scheibbs,Austria,183,,,,,,GEM,07482 404 0,,http://www.scheibbs.lknoe.at,01/01/20,16/04/2020,,4706066,2779909
Sonderkrankenanstalt der Justizanstalt Wien-Josefstadt (Außenstelle Wilhelmshöhe),,Weidlingbachstraße,14,3021,Pressbaum,Austria,48,,,,,,,02233 524 64 3589,,http://www.bmj.gv.at,01/01/20,16/04/2020,,4773462,2804403
Landesklinikum Waidhofen/Ybbs,,Ybbsitzer Straße,112,3340,Waidhofen an der Ybbs,Austria,163,,,,,,"AN, GEM",07442 9004 0,,http://www.waidhofen-ybbs.lknoe.at,01/01/20,16/04/2020,,4678549,2771522
Landesklinikum Wiener Neustadt,,Matthias Corviniusring,3-5,2700,Wiener Neustadt,Austria,766,,,,,,"AN, GEM, IM, KIJU",02622 321 0,,http://wienerneustadt.lknoe.at,01/01/20,16/04/2020,,4788575,2764498
Therapiezentrum Ybbs,,Persenbeuger Straße,1-3,3370,Ybbs an der Donau,Austria,145,,,,,,,07412 551 00,,http://www.wienkav.at/kav/pky/,01/01/20,16/04/2020,,4698548,2798347
Klinikum Peterhof Baden,,Sauerhofstraße,9-15,2500,Baden,Austria,160,,,,,,,02252 481 77,,,01/01/20,16/04/2020,,4785409,2785210
Klinikum Malcherhof Baden,,Adolfine-Malcher-Gasse,1,2500,Baden,Austria,173,,,,,,,02252 895 11 0,,http://www.klinikum-malcherhof.at,01/01/20,16/04/2020,,4786180,2786073
"Diätgenesungsheim Karl Hiesmayr, Breitenstein",,Hauptstraße,69,2673,Breitenstein,Austria,106,,,,,,,02664 2273,,,01/01/20,16/04/2020,,4758200,2744966
Sonderkrankenanstalt für Herz- und Kreislauferkrankungen Groß Gerungs,,Kreuzberg,310,3920,Groß Gerungs,Austria,223,,,,,,,02812 8681 0,,http://www.herz-kreislauf.at,01/01/20,16/04/2020,,4686787,2840272
Rehabilitationszentrum 'Weißer Hof' Klosterneuburg,,Holzgasse,350,3400,Klosterneuburg,Austria,200,,,,,,,05 9393 51000,,http://www.auva.at/rzweisserhof,01/01/20,16/04/2020,,4785950,2821164
Sonderkrankenanstalt Moorheilbad Harbach,,,,3970,Weitra,Austria,268,,,,,,,02858 5255 0,,http://www.moorheilbad-harbach.at,01/01/20,16/04/2020,,4678797,2853472
Rehabilitationszentrum Alland,,,,2534,Alland,Austria,144,,,,,,,02258 2630 0,,http://www.ska-alland.at,01/01/20,16/04/2020,,4772627,2789210
"Klinik Pirawarth, Kur- und Rehabilitationszentrum",,Kurhausstraße,100,2222,Bad Pirawarth,Austria,321,,,,,,,02574 291 60,,http://www.klinik-pirawarth.at,01/01/20,16/04/2020,,4809422,2836974
Therapiezentrum Buchenberg,,Hötzendorfstraße,1,3340,Waidhofen an der Ybbs,Austria,156,,,,,,,07442 522 85 2066,,,01/01/20,16/04/2020,,4678490,2771595
Landesklinikum Horn-Allentsteig,,Spitalgasse,10,3580,Horn,Austria,369,,,,,,"AN, IM",02982 2661 0,,http://www.horn.lknoe.at,01/01/20,16/04/2020,,4737655,2855515
Landesklinikum Korneuburg-Stockerau,,Lenaustraße,1,2000,Stockerau,Austria,298,,,,,,"AN, GEM",02262 780 0,,,01/01/20,16/04/2020,,4780112,2827468
Universitätsklinikum Tulln,,Alter Ziegelweg,10,3430,Tulln an der Donau,Austria,440,,,,,,"GEM, KIJU",02272 601,,http://www.tulln.lknoe.at/,01/01/20,16/04/2020,,4770394,2819418
Landesklinikum Baden-Mödling-Hinterbrühl,,Waltersdorfer Straße,75,2500,Baden,Austria,737,,,,,,"AN, GEM, IM, KIJU",02252 9004,,http://www.baden.lknoe.at/,01/01/20,16/04/2020,,4787340,2784847
Sonderkrankenanstalt Marienhof,,Ausschlag-Zöbern,3-5,2870,Aspang,Austria,80,,,,,,,02642 52430,,https://www.gruenerkreis.at/sonderkrankenhaus-marienhof,01/01/20,16/04/2020,,4778710,2732095
Universitätsklinikum St. Pölten-Lilienfeld,,Dunant-Platz,1,3100,St. Pölten,Austria,1114,,,,,,"AN, GEM, IM, KIJU",02742 9004 0,,http://www.stpoelten.lknoe.at/,01/01/20,16/04/2020,,4738788,2804906
Landesklinikum Zwettl-Gmünd-Waidhofen/Thaya,,Propstei,5,3910,Zwettl,Austria,629,,,,,,"AN, GEM, IM, KIJU",02822 504 0,,http://www.zwettl.lknoe.at,01/01/20,16/04/2020,,4701758,2845482
Psychosomatisches Zentrum Waldviertel Eggenburg,,Grafenbergerstraße,2,3730,Eggenburg,Austria,100,,,,,,,02984 20228 0,,http://www.pszw.at,01/01/20,16/04/2020,,4749659,2853566
Sonderkrankenanstalt Ottenschlag,,Xundheitsstraße,1,3631,Ottenschlag,Austria,111,,,,,,,02858 5255 1650,,http://www.xundheitswelt.at,01/01/20,16/04/2020,,4707473,2826340
Rehabilitationszentrum Engelsbad,,Weilburgstraße,7-9,2500,Baden,Austria,124,,,,,,,02252 845 71 0,,http://www.bva.at,01/01/20,16/04/2020,,4785498,2785357
Waldsanatorium Perchtoldsdorf,,Sonnberggasse,93,2380,Perchtoldsdorf,Austria,170,,,,,,,01 865 01 00 0,,http://www. waldsanatorium.at,01/01/20,16/04/2020,,4786309,2799181
Sonderkrankenanstalt für Psychiatrie Krems-Hollenburg,,Krustettenerstraße,25,3506,Krems-Hollenburg,Austria,150,,,,,,,02739 77 110,,http://www.sanlas.at,01/01/20,16/04/2020,,4741412,2823320
Rehabilitationsklinik Gars am Kamp (gehört zu K384),,Kremser Straße,656,3571,Gars am Kamp,Austria,100,,,,,,,02985 33200,,http://www.pszw.at,01/01/20,16/04/2020,,4738240,2847225
Sonderkrankenanstalt für Remobilisation/Nachsorge und onkologische Rehabilitation,,Fabriksgasse,8,2822,Bad Erlach,Austria,100,,,,,,,02627 813 00,,http//www.lebensmed-baderlach.at,01/01/20,16/04/2020,,4787165,2754661
"Krankenhaus ""St. Josef""  Braunau am Inn",,Ringstraße,60,5280,Braunau am Inn,Austria,384,,,,,,"AN, IM, KIJU",07722 804 0,,http://www.khbr.at,01/01/20,16/04/2020,,4546254,2798216
Klinikum Freistadt,,Krankenhausstraße,1,4240,Freistadt,Austria,165,,,,,,GEM,050 554 76 0,,http://www.lkh-freistadt.at,01/01/20,16/04/2020,,4653380,2829968
Sonderkrankenanstalt für neurologische und pneumologische Rehabilitation,,Bahnhofweg,7,4470,Enns,Austria,120,,,,,,,07223 82 828,,http://www.rehaklinikenns.at,01/01/20,16/04/2020,,4653322,2799260
Sanitätsanstalt Hörsching des Militärkommandos Oberösterreich,,Fliegerhorst Vogler,,4063,Hörsching,Austria,47,,,,,,,07221 700,,,01/01/20,16/04/2020,,4632392,2798704
Landeskrankenhaus Kirchdorf an der Krems,,Hausmanninger Straße,8,4560,Kirchdorf an der Krems,Austria,219,,,,,,GEM,050 554 67 0,,http://www.lkh-kirchdorf.at,01/01/20,16/04/2020,,4629330,2763563
Krankenhaus der Barmherzigen Brüder Linz,,Seilerstätte,2,4020,Linz,Austria,337,,,,,,"AN, IM",0732 7897 0,,http://www.bblinz.at,01/01/20,16/04/2020,,4639150,2807794
Krankenhaus der Barmherzigen Schwestern vom Hl. Vinzenz von Paul Linz,,Seilerstätte,4,4020,Linz,Austria,666,,,,,,"AN, IM, KIJU",0732 7677 0,,http://www.bhs.at/linz/,01/01/20,16/04/2020,,4639167,2807635
Krankenhaus der Elisabethinen Linz,,Fadingerstraße,1,4020,Linz,Austria,455,,,,,,"AN, IM, PUL",0732 7676 0,,http://www.elisabethinen.or.at,01/01/20,16/04/2020,,4639462,2808310
Unfallkrankenhaus Linz,,Garnisonstraße,7,4021,Linz,Austria,153,,,,,,,0732 6920 0,,http://www.auva.at/ukhlinz,01/01/20,16/04/2020,,4640633,2808277
Klinik Diakonissen Linz,,Weißenwolffstraße,15,4020,Linz,Austria,119,,,,,,,0732 7675 0,,http://www.diakonissen-krankenhaus-linz.at,01/01/20,16/04/2020,,4640086,2808280
Krankenhaus der Barmherzigen Schwestern vom Hl. Vinzenz von Paul Ried,,Schloßberg,1,4910,Ried im Innkreis,Austria,427,,,,,,"AN, IM, KIJU",07752 602 0,,http://www.bhs-ried.at,01/01/20,16/04/2020,,4580632,2794701
Klinikum Schärding,,Alfred-Kubin-Straße,2,4780,Schärding,Austria,153,,,,,,GEM,050 554 78 0,,http://www.lkh-schaerding.at,01/01/20,16/04/2020,,4575116,2821679
Sonderkrankenanstalt Sierning,,Neustraße,14,4522,Sierning,Austria,90,,,,,,,07259 2142 0,,http://www.kh-sierning.at,01/01/20,16/04/2020,,4642146,2779264
Landeskrankenhaus Steyr,,Sierninger Straße,170,4400,Steyr,Austria,621,,,,,,"AN, IM, KIJU, PUL",050 554 66 0,,http://www.lkh-steyr.at,01/01/20,16/04/2020,,4648476,2779781
Klinikum Wels-Grieskirchen,,Grieskirchner Straße,42,4600,Wels,Austria,1227,,,,,,"AN, CH, IM, KIJU, PUL",07242 415 0,,http://www.klinikum-wels.at,01/01/20,16/04/2020,,4620270,2792562
"Sonderkrankenanstalt zur Behandlung unspezifischer Atemwegserkrankungen, Erkrankungen des rheumatischen Formenkreises sowie für postoperative Rehabilitation",,Mühlein,2,3335,Weyer,Austria,132,,,,,,,07355 86510,,http://www.ska-weyer.at,01/01/20,16/04/2020,,4671334,2760431
Klinikum Bad Hall für Herz- Kreislauf- und neurologische Rehabilitation,,Parkstraße,12,4540,Bad Hall,Austria,122,,,,,,,07258 3071 0,,,01/01/20,16/04/2020,,4635176,2777309
Sonderkrankenanstalt  - Rehabilitationszentrum Bad Schallerbach (SKA - RZ Bad Schallerbach),,Schönauer Straße,45,4701,Bad Schallerbach,Austria,230,,,,,,,07249 433,,http://www.ska-badschallerbach.at,01/01/20,16/04/2020,,4612099,2799204
Klinikum Rohrbach,,Krankenhausstraße,1,4150,Rohrbach in Oberösterreich,Austria,202,,,,,,GEM,050 554 77 0,,http://www.lkh-rohrbach.at,01/01/20,16/04/2020,,4615419,2836107
Rehabilitationszentrum Bad Ischl-Lindau,,Untere Lindaustraßße,44,4820,Bad Ischl,Austria,134,,,,,,,06132 242 53,,http://www.ska-badischl.at,01/01/20,16/04/2020,,4589733,2740027
Rehabilitationszentrum St. Georgen,,Kogl,25,4880,St. Georgen im Attergau,Austria,95,,,,,,,07667 6161 0,,https://reha.at,01/01/20,16/04/2020,,4579321,2764576
Sonderkrankenanstalt für Kinder- und Jugendneuropsychiatrie,,Prechtlerstraße,30-32,4030,Linz,Austria,30,,,,,,,0732 349 271,,http://www.spattstrasse.at,01/01/20,16/04/2020,,4641107,2804513
HerzReha Herz Kreislaufzentrum Bad Ischl,,Gartenstraße,9,4820,Bad Ischl,Austria,171,,,,,,,06132 278 01,,,01/01/20,16/04/2020,,4592237,2739565
"Sonderkrankenanstalt für Herz- und Kreislauferkrankungen, Stoffwechselerkrankungen sowie Atemwegserkrankungen - Rehabilitationszentrum Austria",,Stifterstraße,11,4701,Bad Schallerbach,Austria,177,,,,,,,07249 425 41,,,01/01/20,16/04/2020,,4611795,2798219
Sonderkrankenanstalt Aspach,,Revitalplatz,2,5252,Aspach,Austria,178,,,,,,,07755 6801,,http://www.revital-aspach.at,01/01/20,16/04/2020,,4566441,2790959
Sonderkrankenanstalt für neurologische und orth. Rehabilitation und Kinderrehabilitation,,Am Dorfplatz,1,4073,Schönering,Austria,151,,,,,,,07226 40004 0,,http://www.klinik-wilhering.at,01/01/20,16/04/2020,,4629808,2807199
Sonderkrankenanstalt für Krankheiten des Stoffwechselsystems und des Verdauungsapparates,,Neydharting,4,4654,Bad Wimsbach-Neydharting,Austria,63,,,,,,,07245 25 474 0,,http://interface.gesundheit-pflege.at/betriebe.html,01/01/20,16/04/2020,,4610469,2778581
Sonderkrankenanstalt für neurologische Rehabilitation Altmünster,,Gmundnerberg,82,4813,Altmünster,Austria,156,,,,,,,07612 88 000,,http://www.ntgb.at,01/01/20,16/04/2020,,4600878,2761933
Klinikum Schallerbacherhof für orthopädische Rehabilitation,,Schallerbacherhofstraße,1,4701,Bad Schallerbach,Austria,123,,,,,,,07249 486 41 0,,http://www.schallerbacherhof.at,01/01/20,16/04/2020,,4612450,2798346
Linz Kepler Universitätsklinikum,,Krankenhausstraße,9,4020,Linz,Austria,1811,,,,,,"AN, GEM, IM, KIJU, NEU",,,http://www.jku.at,01/01/20,16/04/2020,,4640342,2808180
Salzkammergut-Klinikum,,Miller-von-Aichholz-Straße,49,4810,Gmunden,Austria,1091,,,,,,"AN, GEM, IM, KIJU, PUL",05 055473 0,,http://www.salzkammergut-klinikum.at,01/01/20,16/04/2020,,4603527,2763070
Therapiezentrum Justuspark Bad Hall,,Linzer Straße,7,4540,Bad Hall,Austria,100,,,,,,,050405 85550,,http://www.bva.at,01/01/20,16/04/2020,,4634508,2778252
Rehabilitationszentrum Bad Hofgastein,,Salzburger Straße,26-30,5630,Bad Hofgastein,Austria,144,,,,,,,06432 6685,,http://www.ska-badhofgastein.at,01/01/20,16/04/2020,,4556451,2678486
Landesklinik Hallein,,Bürgermeisterstraße,34,5400,Hallein,Austria,124,,,,,,GEM,05 72 55 44,,,01/01/20,16/04/2020,,4554762,2735129
Aö Krankenhaus Oberndorf,,Paracelsusstraße,37,5110,Oberndorf bei Salzburg,Austria,107,,,,,,GEM,06272 4334 601,,http://www.krankenhaus-oberndorf.at,01/01/20,16/04/2020,,4541248,2762508
Krankenanstalt Obertauern Dr. Aufmesser,,Obertauern,115,5562,Obertauern,Austria,3,,,,,,,06456 7298,,http://www.aufmesser.at,01/01/20,16/04/2020,,4590928,2687831
Sanatorium Oberthurnhof  St. Jakob am Thurn,,Dorf,4,5412,Puch bei Hallein,Austria,12,,,,,,,0662 62 33 93 0,,,01/01/20,16/04/2020,,4553173,2741227
Krankenanstalt Radstadt Dr. Aufmesser,,Judenbühel,3-5,5550,Radstadt,Austria,13,,,,,,,06452 7501,,http://www.aufmesser.at,01/01/20,16/04/2020,,4582850,2703001
Landeskrankenhaus Salzburg - Universitätsklinikum der PMU,,Müllner Hauptstraße,48,5020,Salzburg,Austria,1073,,,,,,"AN, IM, KIJU",05 7255 58838,,http://www.salk.at/Landeskrankenhaus.html,01/01/20,16/04/2020,,4548238,2748288
Unfallkrankenhaus Salzburg,,Dr. Franz Rehrl-Platz,5,5020,Salzburg,Austria,138,,,,,,,0662 6580 0,,http://www.auva.at/ukhsalzburg,01/01/20,16/04/2020,,4550004,2747554
"Privatklinik Wehrle - Diakonissen, Standort Andräviertel",,Haydnstraße,18,5020,Salzburg,Austria,116,,,,,,,0662 905 09 0,,http://www.privatklinik-wehrle-diakonissen.at,01/01/20,16/04/2020,,4549191,2748548
Krankenhaus der Barmherzigen Brüder  Salzburg,,Kajetanerplatz,1,5010,Salzburg,Austria,235,,,,,,"AN, IM",0662 8088,,http://www.barmherzige-brueder.at,01/01/20,16/04/2020,,4549676,2747328
Christian-Doppler-Klinik Salzburg - Universitätsklinikum der PMU,,Ignaz-Harrer-Straße,79,5020,Salzburg,Austria,470,,,,,,"NCH, NEU",05 7255 3,,http://www.salk.at/Christian-Doppler-Klinik.html,01/01/20,16/04/2020,,4547386,2748989
Landesklinik St. Veit,,St. Veiter-Straße,46,5621,St. Veit im Pongau,Austria,94,,,,,,,05 7255 46,,http://www.salk.at/Landesklinik_St._Veit.html,01/01/20,16/04/2020,,4560123,2695950
Kardinal Schwarzenberg Klinikum,,Kardinal Schwarzenbergplatz,1,5620,Schwarzach im Pongau,Austria,496,,,,,,"AN, IM, KIJU",06415 7101 0,,http://www.kh-schwarzach.at,01/01/20,16/04/2020,,4559446,2694835
Landesklinik Tamsweg,,Bahnhofstraße,7,5580,Tamsweg,Austria,86,,,,,,GEM,05 7255 47,,http://www.salk.at,01/01/20,16/04/2020,,4610103,2675820
Tauernklinikum Zell am See-Mittersill,,Paracelsusstraße,8,5700,Zell am See,Austria,347,,,,,,"AN, GEM, IM",06542 777 51,,http://www.kh-zellamsee.at,01/01/20,16/04/2020,,4533710,2695736
