Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Pakļautība,Iestādes veids,Iestādes tips,Tālrunis,E-pasts,Adrese,Direktors,Bērnu skaits vecumā līdz 5 gadu vecumam,Bērnu skaits vecumā 5 gadi un vairāk
APES NOVADS,4401901483,"Apes pirmsskolas izglītības iestāde ""Vāverīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,27807791,vaverite@ape.lv,"PASTA IELA 25, APE, APES NOVADS, LV-4337",ILUTA APINE,40,27
AUCES NOVADS,4501901576,"Auces novada pirmsskolas izglītības iestāde ""Vecauce""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63745169,inita.bilkste@pii.auce.lv,"LIELAUCES IELA 21, VECAUCE, VECAUCES PAGASTS, AUCES NOVADS, LV-3708",INITA BILKŠTE,43,22
AUCES NOVADS,4501901577,"Auces novada pirmsskolas izglītības iestāde ""Pīlādzītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63745308,aija.gintere-mikne@pii.auce.lv,"AUSMAS IELA 5, AUCE, AUCES NOVADS, LV-3708",AIJA GINTERE-MIKNE,58,43
AUCES NOVADS,4501901706,"Auces novada pirmsskolas izglītības iestāde ""Rūķīši""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63758267,kristine.kleinberga@pii.auce.lv,"SNIĶERES IELA 8C, BĒNE, BĒNES PAGASTS, AUCES NOVADS, LV-3711",KRISTĪNE KLEINBERGA,28,33
ĀDAŽU NOVADS,4301802698,"Privātā pirmsskolas izglītības iestāde ""PASAKU VALSTĪBA""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67385674,vaditaja.pasakuvalstiba@gmail.com,"GAUJAS IELA 2B, ĀDAŽI, ĀDAŽU NOVADS, LV-2164",ILZE PĒTERSONE-JEZUPENOKA,71,55
ĀDAŽU NOVADS,4301901917,"Ādažu pirmsskolas izglītības iestāde ""Strautiņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67997458,adazupii@adazi.lv,"PIRMĀ IELA 26a, ĀDAŽI, ĀDAŽU NOVADS, LV-2164",SANDRA BREIDAKA,166,238
ĀDAŽU NOVADS,4301902762,Kadagas pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67511520, 67511522",piimezaveji@adazi.lv,"MEŽAVĒJI, KADAGA, ĀDAŽU NOVADS, LV-2103",IRĒNA KUZŅECOVA,111,84
BABĪTES NOVADS,4301802704,"Privātā pirmsskolas izglītības iestāde ""LIESMIŅAS""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29463322,Konstantins.Reznikovs@gmail.com,"GRAVU IELA 42, SPILVE, BABĪTES PAGASTS, BABĪTES NOVADS, LV-2101",LINDA REZŅIKOVA,19,12
BABĪTES NOVADS,4301802962,"Privātā pirmsskolas izglītības iestāde ""Varavīksnes putns""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,22013743,menikab@inbox.lv,"LAUKU IELA 16, SĒBRUCIEMS, BABĪTES PAGASTS, BABĪTES NOVADS, LV-2107",,14,18
BABĪTES NOVADS,4301901949,"Babītes novada pirmsskolas izglītības iestāde ""Saimīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67914602, 67914494",saimitespii@babite.lv,"RĪGAS IELA 7, PIŅĶI, BABĪTES PAGASTS, BABĪTES NOVADS, LV-2107",INGA ERDMANE-HERMANE,113,177
BABĪTES NOVADS,4301902018,Babītes novada pašvaldības Babītes pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67919341,babitespii@babite.lv,"PRIEŽU IELA 1, BABĪTE, BABĪTES PAGASTS, BABĪTES NOVADS, LV-2101",INGRĪDA DZELZKALĒJA,19,62
BALDONES NOVADS,4301901945,"Baldones pirmsskolas izglītības iestāde ""Vāverīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67932793,piivaverite@baldone.lv,"PILSKALNA IELA 6, BALDONE, BALDONES NOVADS, LV-2125",VALDA GERTA,188,141
BALVU NOVADS,4201901936,"Balvu pirmsskolas izglītības iestāde ""Sienāzītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29157658,sienazitis@balvi.lv,"BRĪVĪBAS IELA 50B, BALVI, BALVU NOVADS, LV-4501",IVETA BARINSKA,74,66
BALVU NOVADS,4201902019,"Kubulu pirmsskolas izglītības iestāde ""Ieviņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26617493,kubulipii@balvi.lv,"BALVU IELA 6, KUBULI, KUBULU PAGASTS, BALVU NOVADS, LV-4566",INGA EISAKA,31,33
BALVU NOVADS,4201902098,Bērzkalnes pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde," 64522579, 26626480",berzkalnepii@balvi.lv,"ŪDRU IELA 1, BĒRZKALNE, BĒRZKALNES PAGASTS, BALVU NOVADS, LV-4590",INTA KORLAŠA,10,6
BALVU NOVADS,4201902111,"Balvu pirmsskolas izglītības iestāde ""Pīlādzītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"64522023, 628377243",piladzitis@balvi.lv,"DAUGAVPILS IELA 59, BALVI, BALVU NOVADS, LV-4501",ANTRA EIZĀNE,152,84
BAUSKAS NOVADS,4501901477,"Bauskas novada pašvaldības pirmsskolas izglītības iestāde ""Zīlīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63924050,pii.zilite@bauska.lv,"PLŪDOŅA IELA 60, BAUSKA, BAUSKAS NOVADS, LV-3901",OLITA STRAZDIŅA,219,187
BAUSKAS NOVADS,4501901562,"Bauskas novada pašvaldības pirmsskolas izglītības iestāde ""Pasaulīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63922591,pii.pasaulite@bauska.lv,"SAULES IELA 8, BAUSKA, BAUSKAS NOVADS, LV-3901",DAINA KADIŠEVSKA,134,127
BEVERĪNAS NOVADS,4401901928,"Beverīnas novada pašvaldības Kauguru pagasta pirmsskolas izglītības iestāde ""Pasaciņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64228234,pasacina@beverina.lv,"""Bērnudārzs Pasaciņa"", MŪRMUIŽA, KAUGURU PAGASTS, BEVERĪNAS NOVADS, LV-4224",INETA ZĪDERE,62,31
BROCĒNU NOVADS,4101902001,"Pirmsskolas izglītības iestāde ""Mūsmājas""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"63864120, 63865172",daila.fridmane@broceni.lv,"LIELCIECERES IELA 13 A, BROCĒNI, BROCĒNU NOVADS, LV-3851",DAILA FRĪDMANE,73,49
BROCĒNU NOVADS,4101903032,"Brocēnu novada pirmsskolas izglītības iestāde ""Vālodzīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"29384796, 63864340",daina.gredzena@inbox.lv,"""Vālodzīte"", BLĪDENE, BLĪDENES PAGASTS, BROCĒNU NOVADS, LV-3852",DAINA GREDZENA,29,11
BROCĒNU NOVADS,4101903371,"Pirmsskolas izglītības iestāde ""Varavīksne""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63865776,varaviksne.pii@broceni.lv,"KALNA IELA 1, BROCĒNI, BROCĒNU NOVADS, LV-3851",ANITA MELLE,61,34
BURTNIEKU NOVADS,4401901992,"Burtnieku novada pašvaldības pirmsskolas izglītības iestāde ""Sienāzītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26447410,burtnieku.pii@burtniekunovads.lv,"PARKA IELA 3, BURTNIEKI, BURTNIEKU PAGASTS, BURTNIEKU NOVADS, LV-4206",LINDA SĒNE,25,16
BURTNIEKU NOVADS,4401902969,"Burtnieku novada pašvaldības pirmsskolas izglītības iestāde ""Namiņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26442842,matisipii@burtniekunovads.lv,"SKOLAS IELA 11, MATĪŠI, MATĪŠU PAGASTS, BURTNIEKU NOVADS, LV-4210",RUTA BERGA,30,24
BURTNIEKU NOVADS,4401903038,"Burtnieku novada pašvaldības pirmsskolas izglītības iestāde ""Burtiņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26330075,burtins@burtniekunovads.lv,"OZOLU IELA 2A , VALMIERMUIŽA, VALMIERAS PAGASTS, BURTNIEKU NOVADS, LV-4219",IVAISE MELKERE,136,67
CARNIKAVAS NOVADS,4301901828,"Carnikavas pirmsskolas izglītības iestāde ""Riekstiņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67993671,riekstins@carnikava.lv,"NĀKOTNES IELA 2, CARNIKAVA, CARNIKAVAS NOVADS, LV-2163",INA MELKINA,131,135
CARNIKAVAS NOVADS,4301903178,"Carnikavas novada pirmsskolas izglītības iestāde ""Piejūra""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29389606,piipiejura@carnikava.lv,"""Skola"", SIGUĻI, CARNIKAVAS NOVADS, LV-2163",ANTRA KRASTA,4,15
CESVAINES NOVADS,4401900086,"Cesvaines pirmsskola ""Brīnumzeme""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64852347,brinumzeme@cesvaine.lv,"CELTNIEKU IELA 1, CESVAINE, CESVAINES NOVADS, LV-4871",SKAIDRĪTE AVENIŅA,48,52
CĒSU NOVADS,4401901627,Cēsu pilsētas 1. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64122885,1pii@novads.cesis.lv,"RAUNAS IELA 4, CĒSIS, CĒSU NOVADS, LV-4101",MĀRA VIRSKULE,43,32
CĒSU NOVADS,4401901628,Cēsu pilsētas 4. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"64122608, 64120538",4pii@cesis.edu.lv,"RAUNAS IELA 4, CĒSIS, CĒSU NOVADS, LV-4101",LĪGA BALODE,107,64
CĒSU NOVADS,4401901629,Cēsu pilsētas 5. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64127815,5pii@dome.cesis.lv,"RAUNAS IELA 4, CĒSIS, CĒSU NOVADS, LV-4101",LIENE KAZAKA,138,101
CĒSU NOVADS,4401901630,Cēsu pilsētas 3. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64121361,3pii@novads.cesis.lv,"RAUNAS IELA 4, CĒSIS, CĒSU NOVADS, LV-4101",LIENE CEKULA,124,91
CĒSU NOVADS,4401903333,Līvu pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"64107083, 26458775",livi@skolas.cesis.lv,"RAUNAS IELA 4, CĒSIS, CĒSU NOVADS, LV-4101",ANTRA GABRANOVA,85,22
CIBLAS NOVADS,4201900490,Ciblas pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65729214,ciblaspii@inbox.lv,"SKOLAS IELA 1, CIBLA, CIBLAS PAGASTS, CIBLAS NOVADS, LV-5709",VELTA SEIMUŠKINA,12,16
CIBLAS NOVADS,4201902773,Ciblas novada pašvaldības Blontu pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65700895,blonti.pii@inbox.lv,"""Blontu skola"", BLONTI, BLONTU PAGASTS, CIBLAS NOVADS, LV-5706",GUNTA STOLERE,30,23
DAGDAS NOVADS,4201900585,"Dagdas pilsētas pirmsskolas izglītības iestāde ""Saulīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,22033859,pii.saulite@dagda.lv,"ALEJAS IELA 15 A, DAGDA, DAGDAS NOVADS, LV-5674",INESE DOMKOVA,90,71
DAGDAS NOVADS,4201900587,"Andrupenes pagasta pirmsskolas izglītības iestāde ""Avotiņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65681687,pii.avotins@inbox.lv,"SKOLAS IELA 3, ANDRUPENE, ANDRUPENES PAGASTS, DAGDAS NOVADS, LV-5687",ANNA ZINČENKO,20,14
DAUGAVPILS,2701901783,Daugavpils pilsētas 23. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65442794,bd23rozite@inbox.lv,"SMILŠU IELA 100, DAUGAVPILS, LV-5410",VADIMS VASIĻJEVS,139,92
DAUGAVPILS,2701901784,Daugavpils pilsētas 32. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65434492, 65434680",daug32pii@inbox.lv,"MALU IELA 7, DAUGAVPILS, LV-5401",MĀRĪTE GRIGORJEVA,140,71
DAUGAVPILS,2701901785,Daugavpils pilsētas 30. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65430291, 65439093",daugip30pii@inbox.lv,"TUKUMA IELA 47A, DAUGAVPILS, LV-5417",JEĻIZAVETA DUPAKA,79,42
DAUGAVPILS,2701901786,Daugavpils pilsētas 21. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65440407, 65440406",daugavpils21@inbox.lv,"JĀTNIEKU IELA 66, DAUGAVPILS, LV-4510",TAMĀRA KURPNIECE,152,77
DAUGAVPILS,2701901787,Daugavpils pilsētas 22. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65447656, 65447737",bernud22@inbox.lv,"POLIGONA IELA 50, DAUGAVPILS, LV-5413",OKSANA GROZA,42,20
DAUGAVPILS,2701901788,Daugavpils pilsētas 24. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65428733, 65428823",rukitis24PII@inbox.lv,"MUZEJA IELA 9, DAUGAVPILS, LV-5401",GENOVEFA FEDORKIVA,196,132
DAUGAVPILS,2701901789,Daugavpils pilsētas 27. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65433379,pii27@inbox.lv,"BAUSKAS IELA 104A, DAUGAVPILS, LV-5417",NATAĻJA ISATE,168,89
DAUGAVPILS,2701901790,Daugavpils pilsētas 28. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29258388,daugip28pii@inbox.lv,"LIEPĀJAS IELA 37, DAUGAVPILS, LV-5404",VIJA LARIONOVA,62,39
DAUGAVPILS,2701901791,Daugavpils pilsētas 29. poļu pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65429256,poludarzs29@inbox.lv,"VIENĪBAS IELA 38B, DAUGAVPILS, LV-5401",ANŽELA DUBOVSKA,76,51
DAUGAVPILS,2701901793,Daugavpils pilsētas 26. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65441882, 65442182",daug26pii@inbox.lv,"ŠAURĀ IELA 20, DAUGAVPILS, LV-5410",ARVITA JUKŠA,106,70
DAUGAVPILS,2701901795,Daugavpils pilsētas 14. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65429878,daugavpils14pii@inbox.lv,"VIENĪBAS IELA 36A, DAUGAVPILS, LV-5401",ANNA ROSTOVA,164,84
DAUGAVPILS,2701901796,Daugavpils pilsētas 1. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65421374, 65421263, 25413156",1pii@inbox.lv,"STACIJAS IELA 45, DAUGAVPILS, LV-5403",VIJA MOISEJA,149,108
DAUGAVPILS,2701901797,Daugavpils pilsētas 3. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65448940, 65432894",pirmsskola3@inbox.lv,"RAIPOLES IELA 8, DAUGAVPILS, LV-5421",ŽANNA STAŠĀNE,148,84
DAUGAVPILS,2701901798,Daugavpils pilsētas 5. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65450497, 65450494",pii-5@inbox.lv,"STĀVĀ IELA 41, DAUGAVPILS, LV-5421",KRISTĪNA IVANCOVA,114,116
DAUGAVPILS,2701901800,Daugavpils pilsētas 12. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65427132, 65427490",pii12@inbox.lv,"MUZEJA IELA 10, DAUGAVPILS, LV-5401",SVETLANA ŠPANDARUKA,59,43
DAUGAVPILS,2701901802,Daugavpils pilsētas 11. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65474792,daugip11@inbox.lv,"ĶIEĢEĻU IELA 15a, DAUGAVPILS, LV-5412",,70,34
DAUGAVPILS,2701901803,Daugavpils pilsētas 10. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65435162,daug10pii@inbox.lv,"STRĀDNIEKU IELA 56, DAUGAVPILS, LV-5417",ŅINA KONDRATJEVA,83,43
DAUGAVPILS,2701901804,Daugavpils pilsētas 8. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65431586,Daugavpils_8pii@inbox.lv,"DOBELES IELA 46, DAUGAVPILS, LV-5404",LEONGINA GARBAČEVSKA,31,29
DAUGAVPILS,2701901805,Daugavpils pilsētas 20. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65441056, 65443503",daugavpils20pii@inbox.lv,"INŽENIERU IELA 16, DAUGAVPILS, LV-5410",JEĻENA GRIDJUŠKO,140,89
DAUGAVPILS,2701901806,Daugavpils pilsētas 18. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65427391, 65427575",elisa1858@inbox.lv,"PARĀDES IELA 5, DAUGAVPILS, LV-5401",JEĻIZAVETA KAZAKOVA,93,63
DAUGAVPILS,2701901807,Daugavpils pilsētas 17. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65426760, 65426742",daugavpils17.pii@inbox.lv,"STADIONA IELA 6, DAUGAVPILS, LV-5400",VELTA PROKOFJEVA,64,44
DAUGAVPILS,2701902620,Daugavpils 7. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65448206, 65448215",pirmsskola7@inbox.lv,"TARTU IELA 8, DAUGAVPILS, LV-5422",VELTA KOLPAKOVA,189,78
DAUGAVPILS,2701902758,Daugavpils pilsētas 13. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65431718, 20389640",daugip13pii@inbox.lv,"18. NOVEMBRA IELA 85, DAUGAVPILS, LV-5413",JEĻENA KALMIKOVA,64,46
DAUGAVPILS,2701902787,Daugavpils Ruģeļu pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65434451,sevcenkoe@inbox.lv,"GAISMAS IELA 9, DAUGAVPILS, LV-5414",ELITA ŠEVČENKO,126,78
DAUGAVPILS,2701903367,Daugavpils pilsētas 9. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65426481,9.pii@ip.daugavpils.lv,"PARĀDES IELA 15b, DAUGAVPILS, LV-5401",INĀRA ANDRIJAUSKIENE,29,28
DAUGAVPILS,2701903391,Daugavpils pilsētas 15. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65456296,daug15.pii@inbox.lv,"VENTSPILS IELA 2a, DAUGAVPILS, LV-5404",NADĪNA ĻAHOVIČA,18,40
DAUGAVPILS,2701903402,Daugavpils pilsētas 4. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65421352, 65423470",daugavpils4pii@inbox.lv,"PODNIEKU IELA 1, DAUGAVPILS, LV-5401",JEKATERĪNA JANKOVSKA,43,51
DAUGAVPILS NOVADS,4201901636,"Nīcgales pirmsskolas izglītības iestāde ""Sprīdītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,20278400,pii_spriditis@nicgale.lv,"DAUGAVAS IELA 4, NĪCGALE, NĪCGALES PAGASTS, DAUGAVPILS NOVADS, LV-5463",IVETA GUĢE,15,8
