Nosaukums,Reģistrācijas numurs,Juridiskais status,Vadītājs,Filiāļu skaits,Strukturvienību skaits,Veids,Tips,Faktiskais dibinātājs,Deklarētais dibinātājs,Likvidēta,Adrese,Tālrunis,E-pasts
"A/s ""Ventspils tirdzniecības osta"" Mācību centrs","3260800212","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","A/s ""Ventspils tirdzniecības osta""","A/s ""Ventspils tirdzniecības osta""",Nē,"DZINTARU IELA 22, VENTSPILS, LV-3602","63668320","macibu.centrs@vcp.lv"
"Ābeļu pamatskola","4512900267","Pastarpinātās pārvaldes iestāde","JURIS GAIGALS",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Jēkabpils novada pašvaldība","Jēkabpils novada pašvaldība",Nē,"""Ābeļu pamatskola"", ĀBEĻI, ĀBEĻU PAGASTS, JĒKABPILS NOVADS, LV-5212","65236656, 26422133, 65236835","abelupsk@jekabpilsnovads.lv"
"Ādažu Bērnu un jaunatnes sporta skola","4371902180","Pastarpinātās pārvaldes iestāde","DAGNIJA ZILBERTE",0,0,"Profesionālās ievirzes izglītības iestāde","Sporta skola","Ādažu novada Dome","Ādažu novada Dome",Nē,"GAUJAS IELA 30, ĀDAŽI, ĀDAŽU NOVADS, LV-2164","27746508","sporta.skola@adazi.lv"
"Ādažu Mākslas un mūzikas skola","4374902096","Pastarpinātās pārvaldes iestāde","KRISTĪNE SAVICKA",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas un mākslas skola","Ādažu novada Dome","Ādažu novada Dome",Nē,"GAUJAS IELA 33a, ĀDAŽI, ĀDAŽU NOVADS, LV-2164","67997780","makslu.skola@adazi.lv"
"Ādažu pirmsskolas izglītības iestāde ""Strautiņš""","4301901917","Pastarpinātās pārvaldes iestāde","SANDRA BREIDAKA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Ādažu novada Dome","Ādažu novada Dome",Nē,"PIRMĀ IELA 26a, ĀDAŽI, ĀDAŽU NOVADS, LV-2164","67997458",
"Ādažu vidusskola","4313901280","Pastarpinātās pārvaldes iestāde",,0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Ādažu novada Dome","Ādažu novada Dome",Nē,"GAUJAS IELA 30, ĀDAŽI, ĀDAŽU NOVADS, LV-2164","67996165","vidusskola@adazi.tl.lv"
"Āgenskalna sākumskola","3511900641","Pastarpinātās pārvaldes iestāde","INĀRA KAĶĪTE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā sākumskola","Rīgas Dome","Rīgas Dome",Nē,"KANDAVAS IELA 4 k-1, KURZEMES RAJONS, RĪGA, LV-1083","67474177","aksk@riga.lv"
"Āgenskalna Valsts ģimnāzija","3819900703","Pastarpinātās pārvaldes iestāde","INĀRA GAILE",0,1,"Vispārējās izglītības iestāde","Valsts ģimnāzija","Rīgas Dome","Rīgas Dome",Nē,"LAVĪZES IELA 2a, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002","67611185, 67614133","avg@riga.lv"
"Aglonas bazilikas Kora skola","4276902470","Pastarpinātās pārvaldes iestāde","JUTA KONDAVNIECE",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas skola","Aglonas bazilikas draudze, Aglonas novada dome","Aglonas bazilikas draudze, Aglonas novada Dome",Nē,"CIRIŠA IELA 8, AGLONA, AGLONAS PAGASTS, AGLONAS NOVADS, LV-5304","25911398","aks@aglonasbazilika.lv"
"Aglonas bērnu un jauniešu brīvā laika pavadīšanas centrs ""Strops""","4251903235","Pastarpinātās pārvaldes iestāde","MĀRA UŠACKA",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Aglonas novada dome","Aglonas novada dome",Nē,"DAUGAVPILS IELA 8, AGLONA, AGLONAS PAGASTS, AGLONAS NOVADS, LV-5304","29947906","mara.usacka@glona.lv"
"Aglonas Katoļu ģimnāzija","4213800388","Juridiskā vai fiziskā persona ","ANITA PLACINSKA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","AGLONAS BAZILIKAS DRAUDZE","AGLONAS BAZILIKAS DRAUDZE",Nē,"ALOĪZA BROKA IELA 8, AGLONA, AGLONAS PAGASTS, AGLONAS NOVADS, LV-5304","29377165","aglonaskatgim@pvg.edu.lv"
"Aglonas novada pirmsskolas izglītības iestāde","4201900395","Pastarpinātās pārvaldes iestāde","VALENTĪNA MIHAILOVA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Aglonas novada dome","Aglonas novada Dome",Nē,"JAUDZEMU IELA 7a, AGLONA, AGLONAS PAGASTS, AGLONAS NOVADS, LV-5304","65322451","bernudarzs@aglona.lv"
"Aglonas vidusskola","4213900381","Pastarpinātās pārvaldes iestāde","LIDIJA ŠATILOVA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Aglonas novada dome","Aglonas novada Dome",Nē,"DAUGAVPILS IELA 6, AGLONA, AGLONAS PAGASTS, AGLONAS NOVADS, LV-5304","65321373","aglonasvsk@pvg.edu.lv"
"Agra Daņiļeviča deju skola","3372802659","Komercsabiedrības struktūrvienība","SINGITA DAŅIĻEVIČA",0,0,"Profesionālās ievirzes izglītības iestāde","Deju skola","Sabiedrība ar ierobežotu atbildību ""Dance""","Sabiedrība ar ierobežotu atbildību ""Dance""",Nē,"LĀČPLĒŠA IELA 106 k-1, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1003","29410450","info@dzirnas.lv"
"Aizkraukles Interešu izglītības centrs","4551902023","Pastarpinātās pārvaldes iestāde","ZANE ROMANOVA",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Aizkraukles novada pašvaldība","Aizkraukles pilsētas Dome",Nē,"SPĪDOLAS IELA 11, AIZKRAUKLE, AIZKRAUKLES NOVADS, LV-5101","65122862,65128534","aiic@aizkraukle.lv"
"Aizkraukles Mākslas skola","4575902101","Pastarpinātās pārvaldes iestāde","INESE DEMBOVSKA",0,0,"Profesionālās ievirzes izglītības iestāde","Mākslas skola","Aizkraukles novada pašvaldība","Aizkraukles novada dome",Nē,"SPĪDOLAS IELA 1, AIZKRAUKLE, AIZKRAUKLES NOVADS, LV-5101","65123160","aizms@inbox.lv"
"Aizkraukles novada Sporta skola","4571902205","Pastarpinātās pārvaldes iestāde","BRIGITA KRAUZE",0,0,"Profesionālās ievirzes izglītības iestāde","Sporta skola","Aizkraukles novada pašvaldība","Aizkraukles novada pašvaldība",Nē,"DRAUDZĪBAS KRASTMALA 6, AIZKRAUKLE, AIZKRAUKLES NOVADS, LV-5101","65122773","sportask@inbox.lv"
"Aizkraukles novada vidusskola","4513903124","Pastarpinātās pārvaldes iestāde","ALDIS LABINSKIS",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Aizkraukles novada pašvaldība","Aizkraukles novada pašvaldība",Nē,"LĀČPLĒŠA IELA 21, AIZKRAUKLE, AIZKRAUKLES NOVADS, LV-5101","28382330, 65122369, 65123228","vidusskola@aizkraukle.lv"
"Aizkraukles pagasta sākumskola","4511900989","Pastarpinātās pārvaldes iestāde","JANĪNA ZOLOTORENKO",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā sākumskola","Aizkraukles novada pašvaldība","Aizkraukles novada pašvaldība",Nē,"KALNA IELA 6, AIZKRAUKLE, AIZKRAUKLES PAGASTS, AIZKRAUKLES NOVADS, LV-5101","65128285, 26113790","aps@aizkraukle.lv"
"Aizkraukles pilsētas pirmsskolas izglītības iestāde ""Auseklītis""","4501901768","Pastarpinātās pārvaldes iestāde","INTA VĪBERGA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Aizkraukles novada pašvaldība","Aizkraukles novada pašvaldība",Nē,"SPRĪDĪŠA IELA 3, AIZKRAUKLE, AIZKRAUKLES NOVADS, LV-5101","65121105","auseklitis@aizkraukle.lv"
"Aizkraukles pilsētas pirmsskolas izglītības iestāde ""Saulīte""","4501903388","Pastarpinātās pārvaldes iestāde","SARMĪTE KRUGLOVA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Aizkraukles novada pašvaldība","Aizkraukles novada pašvaldība",Nē,"ZIEMEĻU IELA 1, AIZKRAUKLE, AIZKRAUKLES NOVADS, LV-5101","65123955, 29298620","saulite@aizkraukle.lv"
"Aizkraukles pilsētas pirmsskolas izglītības iestāde ""Zīlīte""","4501901773","Pastarpinātās pārvaldes iestāde","LIGITA NEIJA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Aizkraukles novada pašvaldība","Aizkraukles novada dome",Nē,"BĒRZU IELA 10, AIZKRAUKLE, AIZKRAUKLES NOVADS, LV-5101","65122610","zilite@aizkraukle.lv"
"Aizkraukles Profesionālā vidusskola","4531002881","Valsts tiešās pārvaldes iestāde","RUTA KRŪKLE",0,1,"Profesionālās pamata un vidējās izglītības iestāde","Profesionālās vidējās izglītības iestāde","Izglītības un zinātnes ministrija","Latvijas Republikas Ministru kabinets",Nē,"JAUNCELTNES IELA 21, AIZKRAUKLE, AIZKRAUKLES NOVADS, LV-5101","65121035","aizkavs@inbox.lv"
"Aizputes Mākslas skola","4175902176","Pastarpinātās pārvaldes iestāde","ARMANDS AUSMANIS",0,0,"Profesionālās ievirzes izglītības iestāde","Mākslas skola","Aizputes novada Dome","Aizputes novada Dome",Nē,"ATMODAS IELA 19, AIZPUTE, AIZPUTES NOVADS, LV-3456","63448462","a.ams@inbox.lv"
"Aizputes Mūzikas skola","4176902157","Pastarpinātās pārvaldes iestāde","ARTA KANGIZERE",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas skola","Aizputes novada Dome","Aizputes novada Dome",Nē,"JĀŅA IELA 12, AIZPUTE, AIZPUTES NOVADS, LV-3456","63448157","muzikasskola@aizpute.lv"
"Aizputes novada Skolēnu jaunrades centrs","4151902031","Pastarpinātās pārvaldes iestāde","AUSMA KIRHNERE",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Aizputes novada Dome","Aizputes novada Dome",Nē,"SKOLAS IELA 1, AIZPUTE, AIZPUTES NOVADS, LV-3456","26372370","sjca@inbox.lv"
"Aizputes novada vidusskola","4113903289","Pastarpinātās pārvaldes iestāde","TAISA SOROKINA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Aizputes novada Dome","Aizputes novada Dome",Nē,"ZIEDU IELA 7, AIZPUTE, AIZPUTES NOVADS, LV-3456","26327677","neklatiene@aizpute.lv"
"Aizputes pagasta pamatskola","4112901031","Pastarpinātās pārvaldes iestāde","RENĀTE GOLDBERGA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Aizputes novada Dome","Aizputes novada Dome",Nē,"""Skola"", ROKASBIRZE, AIZPUTES PAGASTS, AIZPUTES NOVADS, LV-3456","20371571","pamatskola@aizpute.lv"
"Aizputes pirmsskolas izglītības iestāde ""Pasaciņa""","4101901761","Pastarpinātās pārvaldes iestāde","ANTRA APINE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Aizputes novada Dome","Aizputes novada Dome",Nē,"ZVAIGŽŅU IELA 6, AIZPUTE, AIZPUTES NOVADS, LV-3456","63449087","aizpute.pasacina@inbox.lv"
"Aizputes vidusskola","4113901044","Pastarpinātās pārvaldes iestāde","GUNTA VĪDNERE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Aizputes novada Dome","Aizputes novada Dome",Nē,"ZIEDU IELA 7, AIZPUTE, AIZPUTES NOVADS, LV-3456","63448251","vidusskola@aizpute.lv"
"Aizupes pamatskola","4512900847","Pastarpinātās pārvaldes iestāde","ZANE LANGE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Jelgavas novada pašvaldība","Jelgavas novada pašvaldība",Nē,"""Aizupes skola"", TUŠĶI, LĪVBĒRZES PAGASTS, JELGAVAS NOVADS, LV-3003","63083046","aizupespsk@jelgavasnovads.lv"
"Aknīstes Bērnu un jauniešu centrs","4551901262","Pastarpinātās pārvaldes iestāde","EVIJA ĶIĶĒNA",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Aknīstes novada pašvaldība","Aknīstes novada pašvaldība",Nē,"SKOLAS IELA 1A, AKNĪSTE, AKNĪSTES NOVADS, LV-5208","65266339, 28349251","akn.bjc.evija@inbox.lv"
"Aknīstes novada pašvaldības pirmsskolas izglītības iestāde ""Bitīte""","4501900305","Pastarpinātās pārvaldes iestāde","RIMA BLUDZE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Aknīstes novada pašvaldība","Aknīstes novada pašvaldība",Nē,"SKOLAS IELA 16A, AKNĪSTE, AKNĪSTES NOVADS, LV-5208","65236603","pii_bitite@inbox.lv"
"Aknīstes vidusskola","4513900255","Pastarpinātās pārvaldes iestāde","AIJA VOITIŠKE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Aknīstes novada pašvaldība","Aknīstes novada pašvaldība",Nē,"SKOLAS IELA 19, AKNĪSTE, AKNĪSTES NOVADS, LV-5208","65266221","aknistevs@gmail.com"
"Aleksandra Bieziņa Raiskuma pamatskola","4422903321","Pastarpinātās pārvaldes iestāde","LOLITA ŽAGARE",0,0,"Speciālās izglītības iestāde","Speciālā pamatskola","Pārgaujas novada pašvaldība","Pārgaujas novada pašvaldība",Nē,"""Dzelmes 5"", RAISKUMS, RAISKUMA PAGASTS, PĀRGAUJAS NOVADS, LV-4146","64107934","kanc@raiskint.apollo.lv"
"Aleksandrovas pamatskola","4222900579","Pastarpinātās pārvaldes iestāde","ANITA MALINOVSKA",0,0,"Speciālās izglītības iestāde","Speciālā pamatskola","Dagdas novada pašvaldība","Dagdas novada pašvaldība",Nē,"""Aleksandrovas skola"", ALEKSANDROVA, KONSTANTINOVAS PAGASTS, DAGDAS NOVADS, LV-5680","65621023","aleksandrova-skola@inbox.lv"
"Alekseja Grāvīša Liepnas pamatskola","4412903320","Pastarpinātās pārvaldes iestāde","ILONA KAZIMIRJONOKA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Alūksnes novada pašvaldība","Alūksnes novada pašvaldība",Nē,"""Liepnas pamatskola"", LIEPNA, LIEPNAS PAGASTS, ALŪKSNES NOVADS, LV-4354","26131191","lvs@aluksne.lv"
"Alfrēda Kalniņa Cēsu Mūzikas vidusskola","4431301248","Valsts tiešās pārvaldes iestāde","VIGO RAČEVSKIS",0,0,"Profesionālās pamata un vidējās izglītības iestāde","Profesionālās vidējās izglītības iestāde","Kultūras ministrija","Latvijas Republikas Ministru kabinets",Nē,"RAUNAS IELA 12 - 2, CĒSIS, CĒSU NOVADS, LV-4101","64125385","akcmv@akcmv.gov.lv"
"Alises Rozes mācību centrs","4480800634","Komercsabiedrības struktūrvienība","PĒTERIS ZĀLĪTIS",0,0,"Pieaugušo neformālās izglītības iestāde","Pieaugušo neformālās izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""VMVK""","Sabiedrība ar ierobežotu atbildību ""VMVK""",Nē,"CĒSU IELA 8, RAUNA, RAUNAS PAGASTS, RAUNAS NOVADS, LV-4131","29407834, 27016634","maksla@arstudio.lv"
"Allažu pamatskola","4312901109","Pastarpinātās pārvaldes iestāde","AINA KEPLERE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Siguldas novada pašvaldība","Siguldas novada pašvaldība",Nē,"SKOLAS IELA 5, ALLAŽI, ALLAŽU PAGASTS, SIGULDAS NOVADS, LV-2154","67970954, 67970949","allazu.pamatskola@sigulda.lv"
"Alojas Ausekļa vidusskola","4313900157","Pastarpinātās pārvaldes iestāde","INA ŠTERNFELDE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Alojas novada dome","Alojas novada Dome",Nē,"AUSEKĻA IELA 1, ALOJA, ALOJAS NOVADS, LV-4064","64031201","alojas.vsk@aloja.lv"
"Alojas Mūzikas un mākslas skola","4374902295","Pastarpinātās pārvaldes iestāde","LAILA ULMANE",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas un mākslas skola","Alojas novada dome","Alojas novada Dome",Nē,"JŪRAS IELA 39A, ALOJA, ALOJAS NOVADS, LV-4064","64031468, 64031235","alojamms@inbox.lv"
"Alojas novada sporta skola","4371902426","Pastarpinātās pārvaldes iestāde","RŪTA EZERNIECE",0,0,"Profesionālās ievirzes izglītības iestāde","Sporta skola","Alojas novada dome","Alojas novada Dome",Nē,"LIELĀ IELA 7, STAICELE, ALOJAS NOVADS, LV-4043","64023031","sporta.skola@aloja.lv"
"Alojas pilsētas pirmsskolas izglītības iestāde ""Auseklītis""","4301900542","Pastarpinātās pārvaldes iestāde","SARMĪTE FREIMANE",0,1,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Alojas novada dome","Alojas novada Dome",Nē,"PARKA IELA 13, ALOJA, ALOJAS NOVADS, LV-4064","64031258, 26386729","auseklitis@aloja.lv"
"Alsungas Mūzikas skola","4176902156","Pastarpinātās pārvaldes iestāde","JANETA VAŠKUS",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas skola","Alsungas novada Dome","Alsungas novada Dome",Nē,"SKOLAS IELA 11, ALSUNGA, ALSUNGAS NOVADS, LV-3306","63351450","alsungasmuzikaskola@apollo.lv"
"Alsungas pirmsskolas izglītības iestāde ""Miķelītis""","4101901410","Pastarpinātās pārvaldes iestāde","ALETA LIPSNE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Alsungas novada Dome","Alsungas novada Dome",Nē,"SKOLAS IELA 16a, ALSUNGA, ALSUNGAS NOVADS, LV-3306","63351382","alsungasbn@inbox.lv"
"Alsungas vidusskola","4113901196","Pastarpinātās pārvaldes iestāde","UNDĪNE PRIEDOLIŅA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Alsungas novada Dome","Alsungas novada Dome",Nē,"SKOLAS IELA 11, ALSUNGA, ALSUNGAS NOVADS, LV-3306","63351127","vidusskola@alsunga.lv"
