Nr. p. k.,Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Pakļautība,Iestādes veids,Iestādes tips,Adrese,Epasts,Tālrunis,Direktors,Bērnu skaits pirmsskolas programmās,Izglītojamo skaits 1. - 12. klasē
11,AIZPUTES NOVADS,4113903289,Aizputes novada vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ZIEDU IELA 7, AIZPUTE, AIZPUTES NOVADS, LV-3456",neklatiene@aizpute.lv,26327677,TAISA SOROKINA,0,341
12,AIZPUTES NOVADS,4122901035,Padures pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"""Skola"", PADURE, LAŽAS PAGASTS, AIZPUTES NOVADS, LV-3456",laza.skola@gmail.com,"63449815, 63449813",LINARDS TIĻUGS,0,45
13,AKNĪSTES NOVADS,4513900255,Aknīstes vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 19, AKNĪSTE, AKNĪSTES NOVADS, LV-5208",aknistevs@gmail.com,65266221,AIJA VOITIŠKE,0,211
14,ALOJAS NOVADS,4312903245,Staiceles pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SPORTA IELA 4, STAICELE, ALOJAS NOVADS, LV-4043",staiceles.pamatskola@aloja.lv,"64035330, 64035337",SANDRA BROKĀNE,44,109
15,ALOJAS NOVADS,4313900157,Alojas Ausekļa vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"AUSEKĻA IELA 1, ALOJA, ALOJAS NOVADS, LV-4064",alojas.vsk@aloja.lv,64031201,INA ŠTERNFELDE,0,248
16,ALSUNGAS NOVADS,4113901196,Alsungas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 11, ALSUNGA, ALSUNGAS NOVADS, LV-3306",vidusskola@alsunga.lv,63351127,UNDĪNE PRIEDOLIŅA,0,94
17,ALŪKSNES NOVADS,4411900920,Alūksnes pilsētas sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"LIELĀ EZERA IELA 26, ALŪKSNE, ALŪKSNES NOVADS, LV-4301",sakumskola@aluksne.lv,"64324403, 26356444",UVA GRENCIONE-LAPSENIETE,0,377
18,ALŪKSNES NOVADS,4412900906,Strautiņu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"Strautiņu pamatskola, STRAUTIŅI, ALSVIĶU PAGASTS, ALŪKSNES NOVADS, LV-4333",skola.strautini@aluksne.lv,25615640,INGRĪDA PEDECE,37,97
19,ALŪKSNES NOVADS,4412900908,Malienas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Brenci 7"", BRENCI, MALIENAS PAGASTS, ALŪKSNES NOVADS, LV-4359",skola.maliena@aluksne.lv,64354315,IEVA BALTĀ-PILSĒTNIECE,0,60
20,ALŪKSNES NOVADS,4412900909,Bejas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"Bejas skola, BEJA, JAUNALŪKSNES PAGASTS, ALŪKSNES NOVADS, LV-4350",skola.beja@aluksne.lv,64354442 64354406,SILVIJA AIZUPE,12,57
21,ALŪKSNES NOVADS,4412900912,Pededzes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"Rūķi, PEDEDZE, PEDEDZES PAGASTS, ALŪKSNES NOVADS, LV-4352",skola.pededze@aluksne.lv,64324339,SELGA BĪBERE,8,62
22,ALŪKSNES NOVADS,4412900914,Ziemeru pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"Pamatskola, MĀRIŅKALNS, ZIEMERA PAGASTS, ALŪKSNES NOVADS, LV-4332",skola.ziemeri@aluksne.lv,"64381298, 64322696",ILZE ANDRONOVA,32,79
23,ALŪKSNES NOVADS,4412902908,Jaunannas Mūzikas un mākslas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"CENTRA IELA 5, JAUNANNA, JAUNANNAS PAGASTS, ALŪKSNES NOVADS, LV-4340",skola.jaunanna@aluksne.lv,26489927,JANĪNA PUŽULE,16,52
24,ALŪKSNES NOVADS,4412903320,Alekseja Grāvīša Liepnas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Liepnas pamatskola"", LIEPNA, LIEPNAS PAGASTS, ALŪKSNES NOVADS, LV-4354",lvs@aluksne.lv,26131191,ILONA KAZIMIRJONOKA,13,67
25,ALŪKSNES NOVADS,4413902870,Alūksnes novada vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KANAVIŅU IELA 14, ALŪKSNE, ALŪKSNES NOVADS, LV-4301",anv@aluksne.lv,64381669,ILZE LĪVIŅA,13,294
26,ALŪKSNES NOVADS,4419900900,Ernsta Glika Alūksnes Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"GLIKA IELA 10, ALŪKSNE, ALŪKSNES NOVADS, LV-4301",avg@aluksne.lv,64307100,DAINA DUBRE-DOBRE,0,277
27,AMATAS NOVADS,4412900316,Zaubes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"Bērzaines, ZAUBE, ZAUBES PAGASTS, AMATAS NOVADS, LV-4113",zaubesk@hawk.lv,"64145541, 64145486",VITA KRŪMIŅA,32,47
28,AMATAS NOVADS,4412900328,Amatas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"LIELĀ IELA 10, IERIĶI, DRABEŠU PAGASTS, AMATAS NOVADS, LV-4139",amatask@inbox.lv,"64129376, 29457809",VALDIS NĪTIŅŠ,60,105
29,AMATAS NOVADS,4412903132,Amatas novada Skujenes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Skujenes skola"", SKUJENES PAGASTS, AMATAS NOVADS, LV-4144",anda_1@inbox.lv,29161391,ANDA LUKSTIŅA,29,53
30,AMATAS NOVADS,4412903194,Drabešu Jaunā pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"PARKA IELA 1, LĪVI, DRABEŠU PAGASTS, AMATAS NOVADS, LV-4101",info@drabesujaunapamatskola.lv,"29228334, 24116848",KRISTĪNE PAISUMA,87,68
31,AMATAS NOVADS,4413900335,Nītaures vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"""Nītaures Skola"", NĪTAURE, NĪTAURES PAGASTS, AMATAS NOVADS, LV-4112",nitaursk@inbox.lv,"64164253, 29165480",MĀRIS ĶĒNIŅŠ,34,67
32,AMATAS NOVADS,4422900347,Amatas novada Spāres pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"""Spāres muiža"", SPĀRE, AMATAS PAGASTS, AMATAS NOVADS, LV-4139",info@sparesskola.lv,64170076,RITA BUKOVSKA,0,54
33,APES NOVADS,4411903171,Trapenes sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"""Skola"", TRAPENE, TRAPENES PAGASTS, APES NOVADS, LV-4348",trapenes.skola@ape.lv,64329080,UNA REĶE,32,27
34,APES NOVADS,4412903128,Ojāra Vācieša Gaujienas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Gaismas"" - 1, GAUJIENA, GAUJIENAS PAGASTS, APES NOVADS, LV-4339",gaujiena.vidusskola@ape.lv,64381157,IEVA ZARIŅA,44,83
35,APES NOVADS,4413900899,Dāvja Ozoliņa Apes vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"PASTA IELA 26, APE, APES NOVADS, LV-4337",apes.vidusskola@ape.edu.lv,64355109,DINA MEISTERE,14,148
36,APES NOVADS,4422900921,Gaujienas pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"""Gaismas""-2, GAUJIENA, GAUJIENAS PAGASTS, APES NOVADS, LV-4339",direktors.gis@ape.lv,"64381154, 64381039",VITA ANDERSONE,2,28
37,AUCES NOVADS,4513900884,Bēnes vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"JELGAVAS IELA 27, BĒNE, BĒNES PAGASTS, AUCES NOVADS, LV-3711",benes.vsk@skolas.zemgale.lv,63758364,MĀRIS EIHMANIS,0,145
38,AUCES NOVADS,4513900885,Auces vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"JURA MĀTERA IELA 11, AUCE, AUCES NOVADS, LV-3708",aucesvidusskola@auce.lv,63745421,INDRA ŠPELA,11,483
39,ĀDAŽU NOVADS,4312803274,"Privātā pamatskola ""Brīvā Austras skola""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Kadaga 7"" - 13, KADAGA, ĀDAŽU NOVADS, LV-2103",Bukovskasandra75@gmail.com,26768912,SANDRA BUKOVSKA,42,0
40,ĀDAŽU NOVADS,4313800383,Privātā vidusskola Ādažu Brīvā Valdorfa skola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"PIRMĀ IELA 26a, ĀDAŽI, ĀDAŽU NOVADS, LV-2164",skola@abvs.lv,67904814,INGA ZEMĪTE,52,399
41,ĀDAŽU NOVADS,4313901280,Ādažu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"GAUJAS IELA 30, ĀDAŽI, ĀDAŽU NOVADS, LV-2164",vidusskola@adazi.tl.lv,67996165,,0,1726
42,BABĪTES NOVADS,4311802759,"Privātā sākumskola ""Vinnijs""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"PRIEŽU IELA 3, BABĪTE, BABĪTES PAGASTS, BABĪTES NOVADS, LV-2101",info@bernudarzsvinnijs.lv,28812297,ILONA BOGDANOVA,187,0
43,BABĪTES NOVADS,4311902824,Babītes novada pašvaldības Salas sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"""Pīlādzīši"", SPUŅCIEMS, SALAS PAGASTS, BABĪTES NOVADS, LV-2105",salasskola@babite.lv,67934172,NENSIJA PRIEDĪTE,53,51
44,BABĪTES NOVADS,4313803103,"Starptautiskā vidusskola ""Ekziperī""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"JAUNĀ IELA 8, PIŅĶI, BABĪTES PAGASTS, BABĪTES NOVADS, LV-2107",management@exupery.lv,26622333,DMITRIJS VINOGRADOVS,59,176
45,BABĪTES NOVADS,4313901118,Babītes vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"JŪRMALAS IELA 17, PIŅĶI, BABĪTES PAGASTS, BABĪTES NOVADS, LV-2107",vidusskola@babite.lv,67914834,ILZE ROZENBERGA,0,1114
46,BALDONES NOVADS,4312901006,Baldones Mūzikas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"DAUGAVAS IELA 23, BALDONE, BALDONES NOVADS, LV-2125",baltapils@baldone.lv,67932069,DACE ŽUKA,0,111
47,BALDONES NOVADS,4313901125,Baldones vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"IECAVAS IELA 2, BALDONE, BALDONES NOVADS, LV-2125",skola@baldonesvsk.lv,"67932794, 67932713, 67932317",INDRA ŠMITE,0,561
48,BALTINAVAS NOVADS,4213900440,Baltinavas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KĀRSAVAS IELA 22, BALTINAVA, BALTINAVAS NOVADS, LV-4594",Baltinava-vsk@inbox.lv,"64521301, 64521322",IMANTS SLIŠĀNS,44,103
49,BALVU NOVADS,4211903357,Balvu sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"PARTIZĀNU IELA 16, BALVI, BALVU NOVADS, LV-4501",pamatskola@balvi.lv,64507006,LARISA KRIŠTOPANOVA,0,425
50,BALVU NOVADS,4212900426,Stacijas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 12, KUBULI, KUBULU PAGASTS, BALVU NOVADS, LV-4566",stacijaspsk@balvi.lv,64560027,RUTA BUKŠA,0,95
51,BALVU NOVADS,4213900436,Bērzpils vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"DĀRZA IELA 12, BĒRZPILS, BĒRZPILS PAGASTS, BALVU NOVADS, LV-4576",berzpilsvsk@balvi.lv,64521990,ILONA STEPĀNE,33,88
52,BALVU NOVADS,4213900439,Tilžas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RAIŅA IELA 15, TILŽA, TILŽAS PAGASTS, BALVU NOVADS, LV-4572",tilzavsk@balvi.lv,64563865,GUNTA RIŽĀ,57,114
53,BALVU NOVADS,4219900434,Balvu Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"DĀRZA IELA 2, BALVI, BALVU NOVADS, LV-4501",bpg@balvi.lv,64522727,INESE PAIDERE,0,311
54,BALVU NOVADS,4231903046,Balvu profesionālā un vispārizglītojošā vidusskola,Pašvaldība ,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās vidējās izglītības iestāde,"VIDZEMES IELA 26, BALVI, BALVU NOVADS, LV-4501",bpvv@balvi.lv,64521940,BIRUTA VIZULE,0,173
55,BAUSKAS NOVADS,4511903232,Mežotnes sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"ZEMGAĻU IELA 7, MEŽOTNE, MEŽOTNES PAGASTS, BAUSKAS NOVADS, LV-3918",mezotne.skola@bauska.lv,"63928936, 27738700",DAINA LAPKOVSKA,35,30
56,BAUSKAS NOVADS,4512901302,Vecsaules pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""vecsaules pamatskola"", VECSAULE, VECSAULES PAGASTS, BAUSKAS NOVADS, LV-3932",vecsaule.skola@bauska.lv,63946456,LILIJA BULA,71,163
57,BAUSKAS NOVADS,4512901306,Griķu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"VISBIJAS IELA 1, CERAUKSTE, CERAUKSTES PAGASTS, BAUSKAS NOVADS, LV-3908",griki.skola@bauska.lv,63900827,DAIGA VĪLIPA,113,104
58,BAUSKAS NOVADS,4512901308,Codes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"VIRSAIŠI, CODE, CODES PAGASTS, BAUSKAS NOVADS, LV-3910",code.pamatskola@bauska.lv,63925405,LAILA JURCIKA,35,123
59,BAUSKAS NOVADS,4512901315,Bauskas pilsētas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"RĪGAS IELA 32, BAUSKA, BAUSKAS NOVADS, LV-3901",pamatskola@bauska.lv,"63924332, 63929844",JĀNIS RUMBA,0,321
60,BAUSKAS NOVADS,4512903239,"Bauskas novada pašvaldības vispārējās izglītības iestāde ""Uzvaras pamatskola""",Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SPORTA IELA 3, UZVARA, GAILĪŠU PAGASTS, BAUSKAS NOVADS, LV-3931",uzvara.skola@bauska.lv,+371 63956505,ILZE ĒRGLE,63,121
61,BAUSKAS NOVADS,4512903251,"Bauskas novada pašvaldības vispārējās izglītības iestāde ""Īslīces pamatskola""",Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 16, BĒRZI, ĪSLĪCES PAGASTS, BAUSKAS NOVADS, LV-3914",islice.skola@bauska.lv,26157375,IRINA VARGUŠENKO,110,113
62,BAUSKAS NOVADS,4513901295,Bauskas 2. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"DĀRZA IELA 9, BAUSKA, BAUSKAS NOVADS, LV-3901",2.vidusskola@bauska.lv,63922473,VERA GRIGORJEVA,0,682
63,BAUSKAS NOVADS,4519901296,Bauskas Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"UZVARAS IELA 10, BAUSKA, BAUSKAS NOVADS, LV-3901",gimnazija@bauska.lv,2877 9553,LINUTA ĢERĢE,0,781
64,BAUSKAS NOVADS,4520901298,Pamūšas speciālā pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"""Pamūšas skola"", GAILĪŠU PAGASTS, BAUSKAS NOVADS, LV-3931",pamusa.skola@bauska.lv,"63956235, 63956285",AELITA NAUMANE,12,69
65,BEVERĪNAS NOVADS,4411900650,Brenguļu sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"""Avotkalni"", BRENGUĻI, BRENGUĻU PAGASTS, BEVERĪNAS NOVADS, LV-4245",brenguluskola@beverina.lv,"64233437, 29322059",SANDRA KAUFMANE,29,15
66,BEVERĪNAS NOVADS,4412900640,J. Endzelīna Kauguru pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"Kauguru skola, KAUGURI, KAUGURU PAGASTS, BEVERĪNAS NOVADS, LV-4224",kauguruskola@beverina.lv,"64221530, 29326289",IVETA RAMBOLA,0,127
67,BEVERĪNAS NOVADS,4412901204,Trikātas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Gaismaskalns"", TRIKĀTA, TRIKĀTAS PAGASTS, BEVERĪNAS NOVADS, LV-4731",trikataspamatskola@inbox.lv,64729203,INGUNA KONDRATJEVA,49,85
68,BROCĒNU NOVADS,4112900013,Remtes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Remtes pils"", REMTE, REMTES PAGASTS, BROCĒNU NOVADS, LV-3871",remte.skola@broceni.lv,63846898,SANIJA JASUTE,22,33
69,BROCĒNU NOVADS,4112900078,Gaiķu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Gaiķu pamatskola"", VECGAIĶI, GAIĶU PAGASTS, BROCĒNU NOVADS, LV-3873",gaiki.skola@broceni.lv,29252675,DZINTRA BĒRTULSONE,43,39
70,BROCĒNU NOVADS,4112900414,Blīdenes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 1, BLĪDENE, BLĪDENES PAGASTS, BROCĒNU NOVADS, LV-3852",blidene.skola@broceni.lv,63864317,LANA PAULAUSKA-UZULE,0,91
71,BROCĒNU NOVADS,4113901049,Brocēnu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"EZERA IELA 6, BROCĒNI, BROCĒNU NOVADS, LV-3851",broceni.skola@broceni.lv,63865605,EGONS VALTERS,0,563
72,BURTNIEKU NOVADS,4412900636,Matīšu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 22, MATĪŠI, MATĪŠU PAGASTS, BURTNIEKU NOVADS, LV-4210",matisu.pamatskola@burtniekunovads.lv,"26556110, 29488182",VENERANDA LOGINA,0,73
73,BURTNIEKU NOVADS,4412900645,Rencēnu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"PARKA IELA 1, RENCĒNI, RENCĒNU PAGASTS, BURTNIEKU NOVADS, LV-4232",rencenu.pamatskola@burtniekunovads.lv,"25427171 , 26405140",DINA OLIŅA,54,105
74,BURTNIEKU NOVADS,4412903106,Burtnieku Ausekļa pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Burtnieku Ausekļa skola"", BURTNIEKU PAGASTS, BURTNIEKU NOVADS, LV-4206",ausekla.pamatskola@burtniekunovads.lv,"29102355, 25600958",INĀRA STEPANOVA,0,99
75,CARNIKAVAS NOVADS,4312901110,Carnikavas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"NĀKOTNES IELA 1, CARNIKAVA, CARNIKAVAS NOVADS, LV-2163",cps@carnikava.lv,67993797 67993613,RAIVIS PAULS,0,406
76,CESVAINES NOVADS,4413900133,Cesvaines vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"MADONAS IELA 1, CESVAINE, CESVAINES NOVADS, LV-4871",cvsk@cesvaine.lv,64852231,DIDZIS BAUNIS,0,265
77,CĒSU NOVADS,4411901845,Cēsu pilsētas Pastariņa sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"RAUNAS IELA 4, CĒSIS, CĒSU NOVADS, LV-4101",pastarsk@skolas.cesis.lv,64122409,RAVITA BLAŽEVICA,0,295
78,CĒSU NOVADS,4412803216,Cēsu Jaunā pamatskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"ZIEMEĻU IELA 16, CĒSIS, CĒSU NOVADS, LV-4101",cesis@jaunaskola.lv,26558695,IVO RODE,42,73
79,CĒSU NOVADS,4412900314,Cēsu 1. pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"RAUNAS IELA 4, CĒSIS, CĒSU NOVADS, LV-4101",cesis1sk@cesis.edu.lv,64120467,ANTRA AVENA,0,393
80,CĒSU NOVADS,4412900319,Rāmuļu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"RAUNAS IELA 4, CĒSIS, CĒSU NOVADS, LV-4101",ramulu_skola@inbox.lv,64129511,INGA ANDERSONE,19,56
81,CĒSU NOVADS,4412900331,Cēsu 2. pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"RAUNAS IELA 4, CĒSIS, CĒSU NOVADS, LV-4101",cesu2psk@skolas.cesis.lv,"64123880, 64122647",IJA BRAMMANE,82,404
82,CĒSU NOVADS,4413903078,Cēsu Pilsētas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RAUNAS IELA 4, CĒSIS, CĒSU NOVADS, LV-4101",vidusskola@cesis.lv,64107169,AIJA SĪMANE,19,664
83,CĒSU NOVADS,4414601647,Cēsu 2. vakara (maiņu) vidusskola,Tieslietu ministrija,Vispārējās izglītības iestāde,Vispārizglītojošā vakara (maiņu) vidusskola,"LĪGATNES IELA 6, CĒSIS, CĒSU NOVADS, LV-4101",cain@ievp.gov.lv,64123902,SARMĪTE SVIĶE,0,20
84,CĒSU NOVADS,4419900342,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"RAUNAS IELA 4, CĒSIS, CĒSU NOVADS, LV-4101",dacvg@dacvg.lv,64122256,OSKARS KAULĒNS,0,202
85,CĒSU NOVADS,4419902648,Cēsu Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"RAUNAS IELA 4, CĒSIS, CĒSU NOVADS, LV-4101",cvg@inbox.lv,64123611,GUNTA BĒRZIŅA,0,375
86,CĒSU NOVADS,4424903139,Cēsu Bērzaines pamatskola-attīstības centrs,Pašvaldība ,Speciālās izglītības iestāde,Internātskola - attīstības centrs,"BĒRZAINES IELA 34, CĒSIS, CĒSU NOVADS, LV-4101",ci_ac@cesis.edu.lv,64125233,ZIGMUNDS OZOLS,144,158
