country,city,street,cap_beds,name,postcode,tel,house_number,id,list_specs,data_year,url,latGISCO,lonGISCO,latBing,lonBing
AT,Klagenfurt am Wörthersee,Völkermarkter Straße,155,Krankenhaus der Elisabethinen Klagenfurt GmbH,9020,0463 5830,15-19,K206,GEM,,http://www.ekh.at,46.6248911,14.3271371,46.62588,14.31615
AT,Klagenfurt am Wörthersee,Waidmannsdorfer Straße,100,Unfallkrankenhaus Klagenfurt,9020,05 9393 4600,35,K207,,,http://www.auva.at/ukhklagenfurt,46.6179251,14.2955144,46.61814560296913,14.295424915126423
AT,Klagenfurt am Wörthersee,Feschnigstraße,83,Abteilung für chronische Kranke im Klinikum Klagenfurt am Wörthersee,9020,0463 538,11,K211,,,http://www.lkh-klu.at,46.6342442,14.3073104,46.63675607026466,14.308367964213128
AT,Klagenfurt am Wörthersee,Radetzkystraße,160,Privatklinik Maria Hilf Klagenfurt,9020,0463 5885 0,35,K212,,,http://www.humanomed.at,46.6277758,14.2965404,46.62772,14.29645
AT,Kötschach-Mauthen,Laas,66,Landeskrankenhaus Laas,9640,04715 7701 0,39,K213,IM,,http://www.lkh-laas.at,46.6995551,12.9890263,46.69954,12.98908
AT,St. Veit an der Glan,Spitalgasse,166,Krankenhaus der Barmherzigen Brüder St. Veit/Glan,9300,04212 499 0,26,K214,AN,,http://www.bbstveit.at,46.769454,14.3533024,46.76909,14.35341
AT,Spittal an der Drau,Billrothstraße,231,Krankenhaus Spittal/Drau,9800,04762 622 0,1,K215,AN,,http://www.khspittal.com,46.80206015,13.4902067490607,46.80183,13.49071
AT,Villach,Nikolaigasse,625,Landeskrankenhaus Villach,9500,04242 208 0,43,K216,"AN, IM, KIJU",,http://www.lkh-vil.or.at,46.6147222,13.8555556,46.61541,13.85849
AT,Villach,Nikolaigasse,26,Abteilung für chronisch Kranke im Landeskrankenhaus Villach,9500,04242 208 62290,43,K217,,,http://www.lkh-vil.or.at,46.6147222,13.8555556,46.61541,13.85849
AT,Feldkirchen in Kärnten,Martin-Luther-Straße,56,Krankenhaus Waiern,9560,04276 2201,14,K218,,,http://www.diakonie-kaernten.at/de-84.cms,46.7333784,14.0871058155227,46.73342,14.08682
AT,Wolfsberg,Paul Hackhoferstraße,229,Landeskrankenhaus Wolfsberg,9400,04352 533 0,9,K219,AN,,http://www.lkh-wo.at,46.8316592,14.8480333,46.83239,14.84858
AT,Wolfsberg,Paul Hackhoferstraße,90,Abteilung für chronische Kranke und Zentrum für Lymphologie im Landeskrankenhaus Wolfsberg,9400,04352 533 0,9,K220,,,http://www.lkh-wo.at,46.8316592,14.8480333,46.83239,14.84858
AT,Treffen,De la Tour Straße,56,Sonderkrankenanstalt de La Tour,9521,04248 2557 0,28,K222,,,http://www.diakonie-kaernten.at/de-86.cms,46.6796471,13.8444485813966,46.67953,13.84463
AT,Villach-Warmbad Villach,Dr. Walter Hochsteiner-Straße,152,Privatklinik Villach,9504,04242 3044 0,4,K223,,,http://www.privatklinik-villach.at,0.0,0.0,46.59427,13.82646
AT,Treibach-Althofen,Moorweg,435,Interdisziplinäre Sonderkrankenanstalt für Rehabilitation,9330,04262 2071 0,30,K224,,,http://www.humanomed.at/privatklinik-althofen/,0.0,0.0,46.87469,14.4923
AT,Obervellach,Johann-Schroth-Weg,30,Sonderkrankenanstalt  Die Schrothkur Obervellach,9821,04782 2043,137,K225,,,http://www.schrothkur.at,0.0,0.0,46.92781066894531,13.235426902770996
AT,Kötschach-Mauthen,Laas,50,Abteilung für chronisch Kranke im Landeskrankenhaus Laas,9640,04715 7701 704,39,K226,,,http://www.lkh-laas.at,46.6995551,12.9890263,46.69954,12.98908
AT,Villach-Warmbad Villach,Kumpfallee,0,Sonderkrankenanstalt für Orthopädie und orthopädische Chirurgie Warmbad-Villach,9504,04242 300 6 00,91,K228,,,http://www.med-warmbad.at/orthopaedie,46.58842205,13.8307671311812,46.5885,13.83077
AT,Klagenfurt am Wörthersee,Grete-Bittner-Straße,95,Rehabilitationsklinik für seelische Gesundheit und Prävention,9020,0463 43 00 07,40,K229,,,http://www.seelischereha.com,46.6360396,14.2966193,46.63594,14.29653
AT,Villach-Warmbad Villach,Kumpfallee,238,Sonderkrankenanstalt für medizinische Rehabilitation Thermenhof,9504,04242 3001 4099,93,K230,,,http://www.med-warmbad.at,46.5878827,13.8304746,46.58791,13.83044
AT,Hermagor,Radingerstraße,110,KABEG Gailtalklinik,9620,04282 2220 0,12,K232,,,http://www.gailtal-klinik.at,0.0,0.0,46.62923,13.3708
AT,Micheldorf,Agathenhofstraße,54,Sonderkrankenanstalt und Gesundheitsresort Agathenhof,9322,05 02 88 29,24,K233,,,http//:www.agathenhof.at,46.9172242,14.4203567426305,46.91708,14.41964
AT,Feldkirchen in Kärnten,Martin-Luther Straße,12,Sonderkrankenhaus Sarepta-Spezialkliinik für Essstörungen,9560,04276 2201 300,14,K238,,,http://www.diakonie-delatour.at/sarepta-spezialklinik-fuer-essstoerungen,46.7333784,14.0871058155227,46.73342,14.08682
AT,Amstetten,Krankenhausstraße,355,Landesklinikum Amstetten,3300,07472 604 00,21,K303,"AN, GEM, IM, KIJU",,http://www.amstetten.lknoe.at,48.1276057,14.8818641330638,48.12824,14.88117
AT,Baden,Renngasse,124,Klinikum am Kurpark Baden für Orthopädie und Rheumatologie,2500,02252 432 85 0,2,K305,,,,47.9507863,16.2280619,48.0091549,16.2336123
AT,Bad Schönau,Am Kurpark,94,Sonderkrankenanstalt Bad Schönau,2853,02646 8251 0,1,K307,,,http://www.koenigsberg-bad-schoenau.at,47.4925218,16.2321744017069,47.49273,16.23198
AT,Muthmannsdorf,Felbring,119,SKA-RZ-Pensionsversicherungsanstalt Felbring im Schneebergland,2723,02638 882 81 0,71,K313,,,http://www.ska-felbring.at,47.841035,16.0842088,47.84132,16.08766
AT,Grimmenstein,Hocheggerstraße,181,Landesklinikum Hochegg,2840,02644 6300 0,88,K315,PUL,,http://www.hochegg.lknoe.at,47.61640685,16.0872343809848,47.61621,16.08731
AT,Hainburg an der Donau,Hofmeisterstraße,142,Landesklinikum Hainburg,2410,02165 90501 203,70,K316,GEM,,http://www.hainburg.lknoe.at,0.0,0.0,48.14443,16.9558
AT,Grimmenstein,Friedrich-Hillegeist-Straße,240,Rehabilitationszentrum Hochegg,2840,02644 6010,2,K318,,,http://www.ska-hochegg.at,47.6156828,16.0986844,47.61537,16.09856
AT,Hollabrunn,Robert Löffler-Straße,222,Landesklinikum Hollabrunn,2020,02952 2275 0,20,K319,"AN, GEM, IM",,http://www.hollabrunn.lknoe.at,48.56269955,16.0908684619655,48.56284,16.09074
AT,Klosterneuburg,Kreutzergasse,127,Landesklinikum Klosterneuburg,3400,02243 9004 0,12-14,K321,GEM,,http://www.kh-klosterneuburg.at,48.3080327,16.3245863,48.30832,16.32423
AT,Krems an der Donau,Mitterweg,461,Universitätsklinikum Krems,3500,02732 804 0,10,K326,"AN, GEM, IM",,http://www.krems.lknoe.at,48.41202845,15.6155879363047,48.41202,15.61502
AT,Laab im Walde,Tiergartenstraße,141,Rehabilitationszentrum für Bewegungsstörungen und rheumatische Erkrankungen,2381,02239 3536,3c,K328,,,http://www.ska-laabimwalde.at,48.15715585,16.1783461842788,48.15622,16.18029
AT,Mauer-Öhling,Hausmeninger Straße,440,Landesklinikum Mauer,3362,07475 9004,221,K333,,,http://www.mauer.lknoe.at,48.092879,14.8036045,48.0919979,14.8009421
AT,Melk,Krankenhausstraße,143,Landesklinikum Melk,3390,02752 9004,11,K334,"AN, GEM",,http://www.melk.lknoe.at,48.2266221,15.3384207,48.2267,15.33837
AT,Mistelbach,Liechtensteinstraße,524,Landesklinikum Mistelbach-Gänserndorf,2130,02572 3341,67,K335,"AN, GEM, IM, KIJU",,http://www.mistelbach.lknoe.at,48.567261,16.5800081,48.56818,16.58053
AT,Neunkirchen,Peischinger Straße,384,Landesklinikum Neunkirchen,2620,02635 602,19,K338,"AN, GEM",,,47.7267709,16.0864573,47.72636,16.08535
AT,Prein an der Rax,Prein/Rax Oberland,152,Sonderkrankenanstalt Gesundheitsresort Raxblick,2654,02665 241 0,2-4,K339,,,http://www.raxblick.at,0.0,0.0,47.675960540771484,15.755098342895508
AT,Scheibbs,Eisenwurzenstraße,183,Landesklinikum Scheibbs,3270,07482 404 0,26,K347,GEM,,http://www.scheibbs.lknoe.at,48.0149824,15.1604644,48.01163,15.16323
AT,Pressbaum,Weidlingbachstraße,48,Sonderkrankenanstalt der Justizanstalt Wien-Josefstadt (Außenstelle Wilhelmshöhe),3021,02233 524 64 3589,14,K352,,,http://www.bmj.gv.at,48.1853807,16.0876679,48.18514,16.08991
AT,Waidhofen an der Ybbs,Ybbsitzer Straße,163,Landesklinikum Waidhofen/Ybbs,3340,07442 9004 0,112,K354,"AN, GEM",,http://www.waidhofen-ybbs.lknoe.at,47.9546647,14.7872007,47.95301,14.78813
AT,Wiener Neustadt,Matthias Corviniusring,766,Landesklinikum Wiener Neustadt,2700,02622 321 0,3-5,K356,"AN, GEM, IM, KIJU",,http://wienerneustadt.lknoe.at,0.0,0.0,47.81615,16.24834
AT,Ybbs an der Donau,Persenbeuger Straße,145,Therapiezentrum Ybbs,3370,07412 551 00,1-3,K357,,,http://www.wienkav.at/kav/pky/,0.0,0.0,48.18176,15.07925
AT,Baden,Sauerhofstraße,160,Klinikum Peterhof Baden,2500,02252 481 77,9-15,K359,,,,48.004362,16.2291257657109,48.00417,16.22886
AT,Baden,Adolfine-Malcher-Gasse,173,Klinikum Malcherhof Baden,2500,02252 895 11 0,1,K363,,,http://www.klinikum-malcherhof.at,48.0114866,16.2402787,48.01132,16.24011
AT,Breitenstein,Hauptstraße,106,"Diätgenesungsheim Karl Hiesmayr, Breitenstein",2673,02664 2273,69,K364,,,,47.6633781,15.8241021273569,47.66333,15.82404
AT,Groß Gerungs,Kreuzberg,223,Sonderkrankenanstalt für Herz- und Kreislauferkrankungen Groß Gerungs,3920,02812 8681 0,310,K365,,,http://www.herz-kreislauf.at,0.0,0.0,48.56515,14.95841
AT,Klosterneuburg,Holzgasse,200,Rehabilitationszentrum 'Weißer Hof' Klosterneuburg,3400,05 9393 51000,350,K369,,,http://www.auva.at/rzweisserhof,48.32525505,16.2766668712599,48.32594,16.27595
AT,Weitra,,268,Sonderkrankenanstalt Moorheilbad Harbach,3970,02858 5255 0,,K370,,,http://www.moorheilbad-harbach.at,48.7004692,14.9015511,48.688377380371094,14.861903190612793
AT,Alland,,144,Rehabilitationszentrum Alland,2534,02258 2630 0,,K371,,,http://www.ska-alland.at,48.0588086,16.075773,48.04957962036133,16.062395095825195
AT,Bad Pirawarth,Kurhausstraße,321,"Klinik Pirawarth, Kur- und Rehabilitationszentrum",2222,02574 291 60,100,K375,,,http://www.klinik-pirawarth.at,48.4489642,16.6102292294388,48.44914,16.60992
AT,Waidhofen an der Ybbs,Hötzendorfstraße,156,Therapiezentrum Buchenberg,3340,07442 522 85 2066,1,K376,,,,47.953824,14.7877237,47.9537,14.78741
AT,Horn,Spitalgasse,369,Landesklinikum Horn-Allentsteig,3580,02982 2661 0,10,K377,"AN, IM",,http://www.horn.lknoe.at,48.668881,15.661173,48.66894,15.66116
AT,Stockerau,Lenaustraße,298,Landesklinikum Korneuburg-Stockerau,2000,02262 780 0,1,K378,"AN, GEM",,,48.3868729,16.2044719164122,48.38686,16.20444
AT,Tulln an der Donau,Alter Ziegelweg,440,Universitätsklinikum Tulln,3430,02272 601,10,K379,"GEM, KIJU",,http://www.tulln.lknoe.at/,0.0,0.0,48.32198,16.06494
AT,Baden,Waltersdorfer Straße,737,Landesklinikum Baden-Mödling-Hinterbrühl,2500,02252 9004,75,K380,"AN, GEM, IM, KIJU",,http://www.baden.lknoe.at/,48.0003981,16.2554077,47.99945,16.25425
AT,Aspang,Ausschlag-Zöbern,80,Sonderkrankenanstalt Marienhof,2870,02642 52430,3-5,K381,,,https://www.gruenerkreis.at/sonderkrankenhaus-marienhof,47.5333886,16.0823389,47.53308,16.08253
AT,St. Pölten,Dunant-Platz,1114,Universitätsklinikum St. Pölten-Lilienfeld,3100,02742 9004 0,1,K382,"AN, GEM, IM, KIJU",,http://www.stpoelten.lknoe.at/,0.0,0.0,48.21438,15.62538
AT,Zwettl,Propstei,629,Landesklinikum Zwettl-Gmünd-Waidhofen/Thaya,3910,02822 504 0,5,K383,"AN, GEM, IM, KIJU",,http://www.zwettl.lknoe.at,48.59982195,15.1627070243756,48.6026518,15.165592
AT,Eggenburg,Grafenbergerstraße,100,Psychosomatisches Zentrum Waldviertel Eggenburg,3730,02984 20228 0,2,K384,,,http://www.pszw.at,48.6429412,15.8216036,48.64306,15.82163
AT,Ottenschlag,Xundheitsstraße,111,Sonderkrankenanstalt Ottenschlag,3631,02858 5255 1650,1,K385,,,http://www.xundheitswelt.at,48.42766975,15.225389624488,48.42731,15.22495
AT,Baden,Weilburgstraße,124,Rehabilitationszentrum Engelsbad,2500,02252 845 71 0,7-9,K386,,,http://www.bva.at,48.0051596,16.2298644703488,48.00542,16.23021
AT,Perchtoldsdorf,Sonnberggasse,170,Waldsanatorium Perchtoldsdorf,2380,01 865 01 00 0,93,K387,,,http://www. waldsanatorium.at,0.0,0.0,48.12869,16.25631
AT,Krems-Hollenburg,Krustettenerstraße,150,Sonderkrankenanstalt für Psychiatrie Krems-Hollenburg,3506,02739 77 110,25,K388,,,http://www.sanlas.at,0.0,0.0,48.37769,15.67918
AT,Gars am Kamp,Kremser Straße,100,Rehabilitationsklinik Gars am Kamp (gehört zu K384),3571,02985 33200,656,K389+,,,http://www.pszw.at,48.5951911,15.6621706,48.59421,15.66064
AT,Bad Erlach,Fabriksgasse,100,Sonderkrankenanstalt für Remobilisation/Nachsorge und onkologische Rehabilitation,2822,02627 813 00,8,K390,,,http//www.lebensmed-baderlach.at,47.7305755,16.2161051,47.72905,16.21885
AT,Braunau am Inn,Ringstraße,384,"Krankenhaus ""St. Josef""  Braunau am Inn",5280,07722 804 0,60,K405,"AN, IM, KIJU",,http://www.khbr.at,48.2555741,13.0332948,48.25583,13.03307
AT,Freistadt,Krankenhausstraße,165,Klinikum Freistadt,4240,050 554 76 0,1,K408,GEM,,http://www.lkh-freistadt.at,48.49225975,14.4983080804569,48.49192,14.4983
AT,Enns,Bahnhofweg,120,Sonderkrankenanstalt für neurologische und pneumologische Rehabilitation,4470,07223 82 828,7,K413,,,http://www.rehaklinikenns.at,48.216422,14.473308,48.21626,14.47295
AT,Hörsching,Fliegerhorst Vogler,47,Sanitätsanstalt Hörsching des Militärkommandos Oberösterreich,4063,07221 700,,K414,,,,48.2264245,14.193905856514,48.22231,14.19139
AT,Kirchdorf an der Krems,Hausmanninger Straße,219,Landeskrankenhaus Kirchdorf an der Krems,4560,050 554 67 0,8,K415,GEM,,http://www.lkh-kirchdorf.at,47.9084864,14.1237682,47.90823,14.12455
AT,Linz,Seilerstätte,337,Krankenhaus der Barmherzigen Brüder Linz,4020,0732 7897 0,2,K417,"AN, IM",,http://www.bblinz.at,48.3004793,14.2890894,48.30045,14.28909
AT,Linz,Seilerstätte,666,Krankenhaus der Barmherzigen Schwestern vom Hl. Vinzenz von Paul Linz,4020,0732 7677 0,4,K418,"AN, IM, KIJU",,http://www.bhs.at/linz/,48.2844228,14.37307745,48.29901,14.2892
AT,Linz,Fadingerstraße,455,Krankenhaus der Elisabethinen Linz,4020,0732 7676 0,1,K419,"AN, IM, PUL",,http://www.elisabethinen.or.at,48.3053242,14.2932199,48.30492,14.29369
AT,Linz,Garnisonstraße,153,Unfallkrankenhaus Linz,4021,0732 6920 0,7,K420,,,http://www.auva.at/ukhlinz,48.30423555,14.3096132682883,48.30401,14.30942
AT,Linz,Weißenwolffstraße,119,Klinik Diakonissen Linz,4020,0732 7675 0,15,K421,,,http://www.diakonissen-krankenhaus-linz.at,48.3043587,14.3021144239691,48.30432,14.30206
AT,Ried im Innkreis,Schloßberg,427,Krankenhaus der Barmherzigen Schwestern vom Hl. Vinzenz von Paul Ried,4910,07752 602 0,1,K427,"AN, IM, KIJU",,http://www.bhs-ried.at,48.2108446,13.4933325,48.21057,13.49322
AT,Schärding,Alfred-Kubin-Straße,153,Klinikum Schärding,4780,050 554 78 0,2,K428,GEM,,http://www.lkh-schaerding.at,48.5069879,13.4616262,48.45531,13.43558
AT,Sierning,Neustraße,90,Sonderkrankenanstalt Sierning,4522,07259 2142 0,14,K429,,,http://www.kh-sierning.at,48.0434732,14.3084623,48.04268,14.30755
AT,Steyr,Sierninger Straße,621,Landeskrankenhaus Steyr,4400,050 554 66 0,170,K431,"AN, IM, KIJU, PUL",,http://www.lkh-steyr.at,48.0449963,14.3911039,48.04397,14.39269
AT,Wels,Grieskirchner Straße,1227,Klinikum Wels-Grieskirchen,4600,07242 415 0,42,K434,"AN, CH, IM, KIJU, PUL",,http://www.klinikum-wels.at,48.1734046,14.0236459,48.17321,14.02412
AT,Weyer,Mühlein,132,"Sonderkrankenanstalt zur Behandlung unspezifischer Atemwegserkrankungen, Erkrankungen des rheumatischen Formenkreises sowie für postoperative Rehabilitation",3335,07355 86510,2,K436,,,http://www.ska-weyer.at,47.8574065,14.6833206359217,47.8576,14.68261
AT,Bad Hall,Parkstraße,122,Klinikum Bad Hall für Herz- Kreislauf- und neurologische Rehabilitation,4540,07258 3071 0,12,K437,,,,48.0284767,14.2126845571593,48.02873,14.21279
AT,Bad Schallerbach,Schönauer Straße,230,Sonderkrankenanstalt  - Rehabilitationszentrum Bad Schallerbach (SKA - RZ Bad Schallerbach),4701,07249 433,45,K438,,,http://www.ska-badschallerbach.at,48.23706555,13.9189962472256,48.23682,13.91906
AT,Rohrbach in Oberösterreich,Krankenhausstraße,202,Klinikum Rohrbach,4150,050 554 77 0,1,K441,GEM,,http://www.lkh-rohrbach.at,48.5661165,13.9906117,48.5666799930013,13.9898899843379
AT,Bad Ischl,Untere Lindaustraßße,134,Rehabilitationszentrum Bad Ischl-Lindau,4820,06132 242 53,44,K442,,,http://www.ska-badischl.at,0.0,0.0,47.71531,13.58083
AT,St. Georgen im Attergau,Kogl,95,Rehabilitationszentrum St. Georgen,4880,07667 6161 0,25,K443,,,https://reha.at,47.9406325,13.4576627503507,47.9404,13.45714
AT,Linz,Prechtlerstraße,30,Sonderkrankenanstalt für Kinder- und Jugendneuropsychiatrie,4030,0732 349 271,30-32,K444,,,http://www.spattstrasse.at,48.2699014,14.31290235,48.26996,14.3129
AT,Bad Ischl,Gartenstraße,171,HerzReha Herz Kreislaufzentrum Bad Ischl,4820,06132 278 01,9,K446,,,,47.709481,13.6133547,47.71006,13.61386
AT,Bad Schallerbach,Stifterstraße,177,"Sonderkrankenanstalt für Herz- und Kreislauferkrankungen, Stoffwechselerkrankungen sowie Atemwegserkrankungen - Rehabilitationszentrum Austria",4701,07249 425 41,11,K447,,,,48.22789405,13.9137008408471,48.22812,13.91429
AT,Aspach,Revitalplatz,178,Sonderkrankenanstalt Aspach,5252,07755 6801,2,K448,,,http://www.revital-aspach.at,48.1828686,13.3008844,48.18281,13.30033
AT,Schönering,Am Dorfplatz,151,Sonderkrankenanstalt für neurologische und orth. Rehabilitation und Kinderrehabilitation,4073,07226 40004 0,1,K450,,,http://www.klinik-wilhering.at,48.2999037,14.1628497398588,48.29992,14.16295
AT,Bad Wimsbach-Neydharting,Neydharting,63,Sonderkrankenanstalt für Krankheiten des Stoffwechselsystems und des Verdauungsapparates,4654,07245 25 474 0,4,K451,,,http://interface.gesundheit-pflege.at/betriebe.html,48.05211205,13.8825775400335,48.05233,13.88294
AT,Altmünster,Gmundnerberg,156,Sonderkrankenanstalt für neurologische Rehabilitation Altmünster,4813,07612 88 000,82,K452,,,http://www.ntgb.at,47.9073631,13.7435132210553,47.90721,13.74347
AT,Bad Schallerbach,Schallerbacherhofstraße,123,Klinikum Schallerbacherhof für orthopädische Rehabilitation,4701,07249 486 41 0,1,K453,,,http://www.schallerbacherhof.at,48.22914015,13.9230180627053,48.22895,13.92318
AT,Linz,Krankenhausstraße,1811,Linz Kepler Universitätsklinikum,4020,,9,K470,"AN, GEM, IM, KIJU, NEU",,http://www.jku.at,48.3032209,14.3054526,48.30329,14.30543
AT,Gmunden,Miller-von-Aichholz-Straße,1091,Salzkammergut-Klinikum,4810,05 055473 0,49,K480,"AN, GEM, IM, KIJU, PUL",,http://www.salzkammergut-klinikum.at,47.9156765,13.779099,47.91621,13.77961
AT,Bad Hall,Linzer Straße,100,Therapiezentrum Justuspark Bad Hall,4540,050405 85550,7,K481,,,http://www.bva.at,48.03738635,14.2044766907873,48.03754,14.20456
AT,Bad Hofgastein,Salzburger Straße,144,Rehabilitationszentrum Bad Hofgastein,5630,06432 6685,26-30,K505,,,http://www.ska-badhofgastein.at,47.1760888,13.1055612991304,47.17556,13.10452
AT,Hallein,Bürgermeisterstraße,124,Landesklinik Hallein,5400,05 72 55 44,34,K512,GEM,,,47.6855442,13.112829,47.68552,13.11271
AT,Oberndorf bei Salzburg,Paracelsusstraße,107,Aö Krankenhaus Oberndorf,5110,06272 4334 601,37,K517,GEM,,http://www.krankenhaus-oberndorf.at,47.936511,12.9467116424202,47.93665,12.94705
AT,Obertauern,Obertauern,3,Krankenanstalt Obertauern Dr. Aufmesser,5562,06456 7298,115,K518,,,http://www.aufmesser.at,47.250812,13.5483677,47.24562,13.56428
AT,Puch bei Hallein,Dorf,12,Sanatorium Oberthurnhof  St. Jakob am Thurn,5412,0662 62 33 93 0,4,K519,,,,47.7397061,13.094851,47.740940426743,13.0948625604493
AT,Radstadt,Judenbühel,13,Krankenanstalt Radstadt Dr. Aufmesser,5550,06452 7501,3-5,K521,,,http://www.aufmesser.at,47.3850823,13.4708959,47.38545,13.46683
AT,Salzburg,Müllner Hauptstraße,1073,Landeskrankenhaus Salzburg - Universitätsklinikum der PMU,5020,05 7255 58838,48,K524,"AN, IM, KIJU",,http://www.salk.at/Landeskrankenhaus.html,47.8062316,13.0304065432589,47.80626,13.0329
AT,Salzburg,Dr. Franz Rehrl-Platz,138,Unfallkrankenhaus Salzburg,5020,0662 6580 0,5,K525,,,http://www.auva.at/ukhsalzburg,47.7993726,13.0556539,47.79901,13.05606
AT,Salzburg,Haydnstraße,116,"Privatklinik Wehrle - Diakonissen, Standort Andräviertel",5020,0662 905 09 0,18,K526,,,http://www.privatklinik-wehrle-diakonissen.at,47.8082238,13.045977,47.80825,13.04575
AT,Salzburg,Kajetanerplatz,235,Krankenhaus der Barmherzigen Brüder  Salzburg,5010,0662 8088,1,K527,"AN, IM",,http://www.barmherzige-brueder.at,47.7970791,13.051592,47.7971,13.05156
AT,Salzburg,Ignaz-Harrer-Straße,470,Christian-Doppler-Klinik Salzburg - Universitätsklinikum der PMU,5020,05 7255 3,79,K528,"NCH, NEU",,http://www.salk.at/Christian-Doppler-Klinik.html,47.8140867,13.017441,47.8128759,13.021916
AT,St. Veit im Pongau,St. Veiter-Straße,94,Landesklinik St. Veit,5621,05 7255 46,46,K533,,,http://www.salk.at/Landesklinik_St._Veit.html,47.33133625,13.1619587712741,47.3312,13.1624
AT,Schwarzach im Pongau,Kardinal Schwarzenbergplatz,496,Kardinal Schwarzenberg Klinikum,5620,06415 7101 0,1,K534,"AN, IM, KIJU",,http://www.kh-schwarzach.at,47.3218051,13.1528691,47.32144,13.15285
AT,Tamsweg,Bahnhofstraße,86,Landesklinik Tamsweg,5580,05 7255 47,7,K535,GEM,,http://www.salk.at,47.12908,13.809217,47.12907,13.80921
AT,Zell am See,Paracelsusstraße,347,Tauernklinikum Zell am See-Mittersill,5700,06542 777 51,8,K536,"AN, GEM, IM",,http://www.kh-zellamsee.at,47.33904505,12.8152406671673,47.33887,12.8133
AT,Bad Gastein,Hans-Kudlich-Straße,155,Klinikum Bad Gastein für Orthopädie und Rheumatologie,5640,06434 2523 0,14,K538,,,https://www.klinikum-badgastein.at,47.10252895,13.1275097660152,47.10233,13.12757
AT,Salzburg,Weizensteinerstraße,38,Suchthilfe Klinik Salzburg,5020,0662 82 42 03,11,K540,,,,47.79286965,13.0263328279175,47.79305,13.02603
AT,Saalfelden am Steinernen Meer,Thorerstraße,130,Rehabilitationszentrum Saalfelden,5760,06582 790,26,K541,,,http://www.ska-saalfelden.at,47.4237464,12.8385153,47.42079,12.84044
AT,Saalfelden am Steinernen Meer,Schmalenbergham,36,Privatklinik Ritzensee,5760,06582 794,4,K544,,,http://www.privatklinik-ritzensee.at,47.4166794,12.8511682051743,47.41661,12.85093
AT,Großgmain,Salzburgerstraße,164,Rehabilitationszentrum Großgmain,5084,06247 7406 0,520,K545,,,http://www.ska-grossgmain.at,47.7277489,12.9186988,47.72781,12.91914
